Team,Team Code,Year,Date,Time,LTime,Loc,Opponent,Team Code opp,Week,G,Day,Result,OT,Points For,Points Against,Points Difference,Points Combined,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Sk,Yds,Pass Rate,Rush Att,Rush Yard,Rush Avg,Rush TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Pass Int opp,Sk opp,Yds opp,Pass Rate opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp
ATL,1,2001,2001-09-09,1:15,1:15,@,SFO,28,1,1,Sun,L 13-16,OT,13,16,-3,29,11,22,50.0,107,0,0,2,14,64.0,31,134,4.32,1,26,40,65.0,324,1,1,2,11,87.9,28,105,3.75,0
BUF,2,2001,2001-09-09,1:05,1:05,,NOR,15,1,1,Sun,L 6-24,,6,24,-18,30,16,28,57.1,126,0,3,5,34,28.9,28,125,4.46,0,18,30,60.0,192,3,0,2,17,112.1,26,109,4.19,0
CAR,29,2001,2001-09-09,1:00,12:00,@,MIN,14,1,1,Sun,W 24-13,,24,13,11,37,13,22,59.1,200,1,1,2,23,85.4,38,91,2.39,1,22,38,57.9,234,1,3,1,2,51.9,26,109,4.19,1
CHI,3,2001,2001-09-09,1:02,1:02,@,BAL,31,1,1,Sun,L 6-17,,6,17,-11,23,24,39,61.5,133,0,2,1,5,46.2,28,56,2.0,0,24,30,80.0,262,1,0,0,0,114.2,30,54,1.8,1
CIN,4,2001,2001-09-09,1:03,1:03,,NEW,16,1,1,Sun,W 23-17,,23,17,6,40,18,27,66.7,196,1,0,1,8,100.2,33,157,4.76,1,22,38,57.9,224,2,0,4,17,92.4,21,68,3.24,0
CLE,5,2001,2001-09-09,1:02,1:02,,SEA,24,1,1,Sun,L 6-9,,6,9,-3,15,17,33,51.5,149,0,1,3,27,51.2,25,90,3.6,0,20,34,58.8,150,0,2,4,28,45.0,27,101,3.74,0
IND,6,2001,2001-09-09,1:03,1:03,@,NYJ,18,1,1,Sun,W 45-24,,45,24,21,69,22,32,68.8,222,2,2,1,9,83.1,30,154,5.13,2,18,31,58.1,192,2,0,1,7,97.8,29,138,4.76,1
DAL,8,2001,2001-09-09,12:03,12:03,,TAM,25,1,1,Sun,L 6-10,,6,10,-4,16,9,19,47.4,28,0,2,2,6,14.5,23,99,4.3,0,25,34,73.5,192,0,1,2,3,74.6,33,71,2.15,1
DET,10,2001,2001-09-09,12:02,12:02,@,GNB,11,1,1,Sun,L 6-28,,6,28,-22,34,20,39,51.3,232,0,2,7,44,48.2,20,56,2.8,0,22,28,78.6,245,2,0,3,15,126.9,29,179,6.17,2
GNB,11,2001,2001-09-09,12:02,12:02,,DET,10,1,1,Sun,W 28-6,,28,6,22,34,22,28,78.6,245,2,0,3,15,126.9,29,179,6.17,2,20,39,51.3,232,0,2,7,44,48.2,20,56,2.8,0
JAX,30,2001,2001-09-09,1:05,1:05,,PIT,21,1,1,Sun,W 21-3,,21,3,18,24,15,26,57.7,198,3,0,1,0,120.4,29,101,3.48,0,21,37,56.8,161,0,2,3,20,45.0,28,120,4.29,0
KAN,12,2001,2001-09-09,12:01,12:01,,OAK,27,1,1,Sun,L 24-27,,24,27,-3,51,16,37,43.2,219,1,1,1,3,60.5,17,35,2.06,1,31,46,67.4,327,2,1,2,14,93.3,28,100,3.57,0
MIA,13,2001,2001-09-09,8:36,7:36,@,TEN,19,1,1,Sun,W 31-23,,31,23,8,54,12,20,60.0,225,2,0,0,0,132.3,33,82,2.48,1,16,40,40.0,210,2,3,2,18,42.7,25,105,4.2,0
MIN,14,2001,2001-09-09,1:00,12:00,,CAR,29,1,1,Sun,L 13-24,,13,24,-11,37,22,38,57.9,234,1,3,1,2,51.9,26,109,4.19,1,13,22,59.1,200,1,1,2,23,85.4,38,91,2.39,1
NOR,15,2001,2001-09-09,1:05,1:05,@,BUF,2,1,1,Sun,W 24-6,,24,6,18,30,18,30,60.0,192,3,0,2,17,112.1,26,109,4.19,0,16,28,57.1,126,0,3,5,34,28.9,28,125,4.46,0
NEW,16,2001,2001-09-09,1:03,1:03,@,CIN,4,1,1,Sun,L 17-23,,17,23,-6,40,22,38,57.9,224,2,0,4,17,92.4,21,68,3.24,0,18,27,66.7,196,1,0,1,8,100.2,33,157,4.76,1
NYJ,18,2001,2001-09-09,1:03,1:03,,IND,6,1,1,Sun,L 24-45,,24,45,-21,69,18,31,58.1,192,2,0,1,7,97.8,29,138,4.76,1,22,32,68.8,222,2,2,1,9,83.1,30,154,5.13,2
TEN,19,2001,2001-09-09,8:36,7:36,,MIA,13,1,1,Sun,L 23-31,,23,31,-8,54,16,40,40.0,210,2,3,2,18,42.7,25,105,4.2,0,12,20,60.0,225,2,0,0,0,132.3,33,82,2.48,1
PHI,20,2001,2001-09-09,4:16,4:16,,LAR,22,1,1,Sun,L 17-20,OT,17,20,-3,37,32,48,66.7,277,2,1,5,35,86.9,18,57,3.17,0,28,42,66.7,282,1,2,4,26,73.7,23,82,3.57,1
PIT,21,2001,2001-09-09,1:05,1:05,@,JAX,30,1,1,Sun,L 3-21,,3,21,-18,24,21,37,56.8,161,0,2,3,20,45.0,28,120,4.29,0,15,26,57.7,198,3,0,1,0,120.4,29,101,3.48,0
OAK,27,2001,2001-09-09,12:01,12:01,@,KAN,12,1,1,Sun,W 27-24,,27,24,3,51,31,46,67.4,327,2,1,2,14,93.3,28,100,3.57,0,16,37,43.2,219,1,1,1,3,60.5,17,35,2.06,1
LAR,22,2001,2001-09-09,4:16,4:16,@,PHI,20,1,1,Sun,W 20-17,OT,20,17,3,37,28,42,66.7,282,1,2,4,26,73.7,23,82,3.57,1,32,48,66.7,277,2,1,5,35,86.9,18,57,3.17,0
BAL,31,2001,2001-09-09,1:02,1:02,,CHI,3,1,1,Sun,W 17-6,,17,6,11,23,24,30,80.0,262,1,0,0,0,114.2,30,54,1.8,1,24,39,61.5,133,0,2,1,5,46.2,28,56,2.0,0
LAC,23,2001,2001-09-09,4:15,1:15,,WAS,26,1,1,Sun,W 30-3,,30,3,27,33,10,18,55.6,122,0,2,1,7,37.0,46,133,2.89,2,15,32,46.9,117,0,2,1,2,30.3,19,44,2.32,0
SEA,24,2001,2001-09-09,1:02,1:02,@,CLE,5,1,1,Sun,W 9-6,,9,6,3,15,20,34,58.8,150,0,2,4,28,45.0,27,101,3.74,0,17,33,51.5,149,0,1,3,27,51.2,25,90,3.6,0
SFO,28,2001,2001-09-09,1:15,1:15,,ATL,1,1,1,Sun,W 16-13,OT,16,13,3,29,26,40,65.0,324,1,1,2,11,87.9,28,105,3.75,0,11,22,50.0,107,0,0,2,14,64.0,31,134,4.32,1
