School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Arizona State,2005-09-01,1,,Temple,W,9,63,47,18,37,48.6,203,1,35,62,1.8,1,1,2,3
Buffalo,2005-09-01,1,@,Connecticut,L,0,0,-38,14,21,66.7,132,3,55,290,5.3,2,0,1,1
Cincinnati,2005-09-01,1,,Eastern Michigan,W,4,28,2,22,33,66.7,167,1,31,149,4.8,2,0,0,0
Connecticut,2005-09-01,1,,Buffalo,W,5,38,38,10,21,47.6,60,0,28,65,2.3,0,0,0,0
Eastern Michigan,2005-09-01,1,@,Cincinnati,L,3,26,-2,17,26,65.4,176,2,55,293,5.3,2,1,0,1
Houston,2005-09-01,1,,Oregon,L,3,24,-14,30,49,61.2,348,2,36,206,5.7,1,0,1,1
Idaho,2005-09-01,1,@,Washington State,L,3,26,-12,17,29,58.6,230,3,35,206,5.9,2,1,2,3
Louisiana-Monroe,2005-09-01,1,,Northwestern State,L,3,23,-4,15,23,65.2,229,3,40,120,3.0,1,0,3,3
Marshall,2005-09-01,1,,William & Mary,W,5,36,12,18,35,51.4,204,2,37,155,4.2,1,2,1,3
Minnesota,2005-09-01,1,@,Tulsa,W,5,41,31,27,41,65.9,218,1,35,135,3.9,0,3,1,4
Oregon,2005-09-01,1,@,Houston,W,3,38,14,24,43,55.8,312,2,26,100,3.8,1,0,2,2
South Carolina,2005-09-01,1,,Central Florida,W,3,24,9,27,39,69.2,258,1,41,83,2.0,0,0,1,1
Temple,2005-09-01,1,@,Arizona State,L,2,16,-47,19,31,61.3,259,5,44,300,6.8,4,1,2,3
Toledo,2005-09-01,1,,Western Illinois,W,8,62,48,18,29,62.1,239,2,41,64,1.6,0,3,3,6
Tulsa,2005-09-01,1,,Minnesota,L,1,10,-31,14,25,56.0,235,1,44,301,6.8,4,1,1,2
UCF,2005-09-01,1,@,South Carolina,L,1,15,-9,18,23,78.3,330,3,28,32,1.1,0,3,0,3
Vanderbilt,2005-09-01,1,@,Wake Forest,W,3,24,4,15,26,57.7,198,0,51,274,5.4,2,1,0,1
Wake Forest,2005-09-01,1,,Vanderbilt,L,2,20,-4,25,36,69.4,276,1,30,146,4.9,2,0,1,1
Washington State,2005-09-01,1,,Idaho,W,5,38,12,19,32,59.4,180,2,41,86,2.1,1,1,0,1
Arizona,2005-09-02,1,@,Utah,L,3,24,-3,19,31,61.3,220,1,38,226,5.9,1,1,0,1
Central Michigan,2005-09-02,1,,Indiana,L,1,13,-7,17,35,48.6,276,3,45,109,2.4,0,0,1,1
Indiana,2005-09-02,1,@,Central Michigan,W,3,20,7,18,36,50.0,216,0,32,167,5.2,1,0,0,0
Utah,2005-09-02,1,,Arizona,W,3,27,3,24,42,57.1,287,2,33,104,3.2,1,2,2,4
Air Force,2005-09-03,1,@,Washington,W,2,20,3,19,27,70.4,242,1,34,129,3.8,1,0,0,0
Alabama,2005-09-03,1,,Middle Tennessee State,W,3,26,19,13,20,65.0,123,1,25,34,1.4,0,1,0,1
Arkansas,2005-09-03,1,,Missouri State,W,7,49,32,12,28,42.9,160,1,39,178,4.6,1,3,2,5
Arkansas State,2005-09-03,1,@,Missouri,L,2,17,-27,33,48,68.8,340,4,41,317,7.7,2,2,1,3
Auburn,2005-09-03,1,,Georgia Tech,L,2,14,-9,17,36,47.2,174,1,39,139,3.6,1,0,1,1
Ball State,2005-09-03,1,@,Iowa,L,0,0,-56,19,20,95.0,200,2,47,241,5.1,5,2,0,2
Baylor,2005-09-03,1,@,Southern Methodist,W,3,28,5,9,26,34.6,106,1,36,170,4.7,2,2,0,2
Boise State,2005-09-03,1,@,Georgia,L,2,13,-35,22,33,66.7,394,5,33,180,5.5,1,1,0,1
Boston College,2005-09-03,1,@,Brigham Young,W,2,20,17,41,60,68.3,330,0,16,8,0.5,0,0,0,0
Bowling Green State,2005-09-03,1,@,Wisconsin,L,6,42,-14,8,10,80.0,116,1,63,388,6.2,7,0,1,1
Brigham Young,2005-09-03,1,,Boston College,L,0,3,-17,27,35,77.1,232,2,31,133,4.3,0,1,0,1
California,2005-09-03,1,,Sacramento State,W,5,41,38,16,37,43.2,121,0,32,68,2.1,0,3,0,3
Clemson,2005-09-03,1,,Texas A&M,W,1,25,1,8,17,47.1,110,1,33,248,7.5,2,1,1,2
Colorado,2005-09-03,1,,Colorado State,W,3,31,3,28,43,65.1,291,3,34,95,2.8,1,0,4,4
Colorado State,2005-09-03,1,@,Colorado,L,4,28,-3,22,33,66.7,283,0,29,113,3.9,3,2,1,3
Duke,2005-09-03,1,@,East Carolina,L,3,21,-3,17,21,81.0,235,1,36,103,2.9,2,2,0,2
East Carolina,2005-09-03,1,,Duke,W,3,24,3,15,30,50.0,139,0,43,162,3.8,2,1,3,4
Florida,2005-09-03,1,,Wyoming,W,4,32,18,14,32,43.8,150,1,27,72,2.7,1,1,1,2
Florida Atlantic,2005-09-03,1,@,Kansas,L,3,19,-11,16,35,45.7,177,1,37,201,5.4,2,0,2,2
Florida International,2005-09-03,1,@,Kansas State,L,3,21,-14,19,31,61.3,161,2,42,246,5.9,2,3,1,4
Georgia,2005-09-03,1,,Boise State,W,6,48,35,13,25,52.0,123,0,35,169,4.8,2,2,4,6
Georgia Tech,2005-09-03,1,@,Auburn,W,2,23,9,22,44,50.0,342,2,23,50,2.2,0,1,4,5
Hawaii,2005-09-03,1,,Southern California,L,2,17,-46,20,29,69.0,341,4,33,177,5.4,3,0,1,1
Illinois,2005-09-03,1,,Rutgers,W,4,33,3,27,44,61.4,342,2,27,175,6.5,1,0,0,0
Iowa,2005-09-03,1,,Ball State,W,8,56,56,11,23,47.8,93,0,34,51,1.5,0,1,0,1
Iowa State,2005-09-03,1,,Illinois State,W,4,32,11,10,25,40.0,222,2,34,89,2.6,0,0,2,2
Kansas,2005-09-03,1,,Florida Atlantic,W,3,30,11,20,28,71.4,299,3,37,70,1.9,0,1,0,1
Kansas State,2005-09-03,1,,Florida International,W,4,35,14,17,34,50.0,154,1,26,82,3.2,1,2,1,3
Kent State,2005-09-03,1,@,Michigan State,L,2,14,-35,27,35,77.1,331,2,55,354,6.4,5,2,1,3
Louisiana,2005-09-03,1,@,Texas,L,0,3,-57,13,17,76.5,173,3,52,418,8.0,6,1,1,2
Maryland,2005-09-03,1,N,Navy,W,2,23,3,5,12,41.7,97,0,49,246,5.0,3,0,1,1
Miami (OH),2005-09-03,1,@,Ohio State,L,2,14,-20,22,30,73.3,222,2,36,160,4.4,1,1,1,2
Michigan,2005-09-03,1,,Northern Illinois,W,4,33,16,17,25,68.0,200,0,32,211,6.6,2,4,1,5
Michigan State,2005-09-03,1,,Kent State,W,7,49,35,32,55,58.2,301,2,15,14,0.9,0,0,1,1
Middle Tennessee State,2005-09-03,1,@,Alabama,L,1,7,-19,17,25,68.0,212,1,37,133,3.6,2,0,1,1
Mississippi State,2005-09-03,1,,Murray State,W,5,38,32,14,20,70.0,141,0,33,88,2.7,1,1,1,2
Missouri,2005-09-03,1,,Arkansas State,W,6,44,27,19,38,50.0,206,1,29,117,4.0,1,1,1,2
Navy,2005-09-03,1,N,Maryland,L,3,20,-3,19,30,63.3,217,1,40,210,5.3,1,0,2,2
Nebraska,2005-09-03,1,,Maine,W,2,25,18,16,36,44.4,151,1,37,-6,-0.2,0,1,1,2
New Mexico State,2005-09-03,1,,Texas-El Paso,L,2,17,-17,17,33,51.5,204,3,35,97,2.8,1,1,0,1
Northern Illinois,2005-09-03,1,@,Michigan,L,2,17,-16,21,33,63.6,239,2,48,208,4.3,2,1,0,1
Northwestern,2005-09-03,1,,Ohio,W,5,38,24,12,28,42.9,177,0,23,62,2.7,1,2,1,3
Notre Dame,2005-09-03,1,@,Pittsburgh,W,6,42,21,20,35,57.1,220,1,31,103,3.3,1,1,1,2
Ohio,2005-09-03,1,@,Northwestern,L,2,14,-24,28,40,70.0,356,2,47,194,4.1,3,2,1,3
Ohio State,2005-09-03,1,,Miami (OH),W,4,34,20,24,44,54.5,250,1,30,48,1.6,1,1,1,2
Oklahoma,2005-09-03,1,,Texas Christian,L,1,10,-7,24,45,53.3,226,1,35,58,1.7,1,1,1,2
Oklahoma State,2005-09-03,1,,Montana State,W,2,15,5,22,34,64.7,205,0,28,49,1.8,1,1,0,1
Oregon State,2005-09-03,1,,Portland State,W,5,41,27,15,33,45.5,174,1,34,126,3.7,1,0,2,2
Penn State,2005-09-03,1,,South Florida,W,3,23,10,21,39,53.8,200,2,36,97,2.7,0,1,1,2
Pitt,2005-09-03,1,,Notre Dame,L,2,21,-21,18,27,66.7,227,2,50,275,5.5,4,0,1,1
Rutgers,2005-09-03,1,@,Illinois,L,3,30,-3,24,34,70.6,233,3,48,204,4.3,1,1,2,3
San Diego State,2005-09-03,1,,UCLA,L,3,21,-23,12,18,66.7,158,0,35,191,5.5,4,0,0,0
San Jose State,2005-09-03,1,,Eastern Washington,W,5,35,11,23,40,57.5,372,2,32,88,2.8,1,1,1,2
SMU,2005-09-03,1,,Baylor,L,3,23,-5,23,40,57.5,198,0,45,215,4.8,3,1,2,3
South Florida,2005-09-03,1,@,Penn State,L,2,13,-10,9,15,60.0,90,0,39,264,6.8,2,2,1,3
Tennessee,2005-09-03,1,,Alabama-Birmingham,W,2,17,7,27,38,71.1,282,1,23,53,2.3,0,1,1,2
Texas,2005-09-03,1,,Louisiana,W,9,60,57,16,33,48.5,166,0,34,72,2.1,0,0,1,1
Texas A&M,2005-09-03,1,@,Clemson,L,3,24,-1,16,24,66.7,213,0,51,183,3.6,0,0,0,0
Texas Christian,2005-09-03,1,@,Oklahoma,W,2,17,7,13,31,41.9,128,0,36,97,2.7,1,3,1,4
Troy,2005-09-03,1,,Cal Poly,W,3,27,17,10,16,62.5,68,0,36,71,2.0,1,1,1,2
UAB,2005-09-03,1,@,Tennessee,L,1,10,-7,22,38,57.9,274,2,35,138,3.9,0,0,3,3
UCLA,2005-09-03,1,@,San Diego State,W,5,44,23,24,35,68.6,246,1,46,156,3.4,2,0,2,2
USC,2005-09-03,1,@,Hawaii,W,9,63,46,33,49,67.3,377,2,21,60,2.9,0,2,1,3
UTEP,2005-09-03,1,@,New Mexico State,W,4,34,17,38,62,61.3,347,2,24,-17,-0.7,0,1,3,4
Virginia,2005-09-03,1,,Western Michigan,W,4,31,12,33,49,67.3,271,0,37,86,2.3,0,1,1,2
Washington,2005-09-03,1,,Air Force,L,2,17,-3,13,22,59.1,207,1,52,218,4.2,1,2,0,2
Western Michigan,2005-09-03,1,@,Virginia,L,1,19,-12,17,25,68.0,252,1,41,188,4.6,3,1,2,3
Wisconsin,2005-09-03,1,,Bowling Green State,W,8,56,14,30,52,57.7,458,5,29,73,2.5,1,0,1,1
Wyoming,2005-09-03,1,@,Florida,L,2,14,-18,26,34,76.5,320,3,36,91,2.5,1,0,0,0
Kentucky,2005-09-04,1,,Louisville,L,3,24,-7,19,27,70.4,179,0,46,209,4.5,4,0,0,0
Louisville,2005-09-04,1,@,Kentucky,W,4,31,7,17,27,63.0,278,2,27,47,1.7,1,3,0,3
North Carolina State,2005-09-04,1,,Virginia Tech,L,1,16,-4,10,21,47.6,108,1,41,124,3.0,1,0,0,0
Syracuse,2005-09-04,1,,West Virginia,L,1,7,-8,17,27,63.0,167,0,45,172,3.8,0,4,1,5
Virginia Tech,2005-09-04,1,@,North Carolina State,W,2,20,4,27,44,61.4,311,0,29,127,4.4,1,1,2,3
West Virginia,2005-09-04,1,@,Syracuse,W,1,15,8,15,31,48.4,85,0,26,18,0.7,1,0,2,2
Florida State,2005-09-05,1,,Miami (FL),W,1,10,3,16,28,57.1,232,1,44,81,1.8,0,1,2,3
Memphis,2005-09-05,1,,Mississippi,L,0,6,-4,15,31,48.4,207,0,36,55,1.5,1,0,2,2
Miami (FL),2005-09-05,1,@,Florida State,L,1,7,-3,8,26,30.8,74,0,33,96,2.9,1,1,1,2
New Mexico,2005-09-05,1,,Nevada-Las Vegas,W,3,24,2,19,31,61.3,255,2,29,108,3.7,1,0,1,1
Ole Miss,2005-09-05,1,@,Memphis,W,1,10,4,16,29,55.2,149,0,38,119,3.1,0,1,2,3
UNLV,2005-09-05,1,@,New Mexico,L,3,22,-2,20,29,69.0,288,2,39,87,2.2,1,0,0,0
Florida Atlantic,2005-09-08,2,,Oklahoma State,L,0,3,-20,11,22,50.0,98,0,49,194,4.0,2,1,0,1
Oklahoma State,2005-09-08,2,@,Florida Atlantic,W,2,23,20,7,16,43.8,91,0,41,129,3.1,0,4,0,4
Nevada,2005-09-09,1,,Washington State,L,3,21,-34,19,32,59.4,287,4,43,247,5.7,1,1,0,1
Ohio,2005-09-09,2,,Pittsburgh,W,2,16,6,13,26,50.0,120,0,41,148,3.6,0,0,3,3
Pitt,2005-09-09,2,@,Ohio,L,1,10,-6,14,24,58.3,114,0,35,94,2.7,0,0,0,0
Washington State,2005-09-09,2,@,Nevada,W,7,55,34,23,42,54.8,257,1,35,125,3.6,2,0,1,1
Air Force,2005-09-10,2,,San Diego State,W,6,41,12,27,44,61.4,253,1,33,164,5.0,2,2,1,3
Akron,2005-09-10,1,@,Purdue,L,3,24,-25,23,36,63.9,267,2,50,211,4.2,4,1,0,1
Alabama,2005-09-10,2,,Southern Mississippi,W,4,30,9,15,30,50.0,190,2,23,9,0.4,0,0,1,1
Arizona,2005-09-10,2,,Northern Arizona,W,4,31,19,15,33,45.5,133,1,36,141,3.9,0,1,0,1
Arizona State,2005-09-10,2,,Louisiana State,L,4,31,-4,17,30,56.7,244,1,47,190,4.0,2,2,0,2
Arkansas,2005-09-10,2,,Vanderbilt,L,3,24,-4,23,45,51.1,278,2,33,130,3.9,1,0,1,1
Arkansas State,2005-09-10,2,,Tennessee-Martin,W,8,56,49,11,20,55.0,103,0,52,128,2.5,1,1,0,1
Army,2005-09-10,1,@,Boston College,L,1,7,-37,22,28,78.6,289,2,41,175,4.3,4,0,0,0
Auburn,2005-09-10,2,,Mississippi State,W,4,28,28,12,21,57.1,126,0,38,81,2.1,0,2,1,3
Ball State,2005-09-10,2,,Bowling Green State,L,4,31,-9,27,43,62.8,427,5,36,127,3.5,0,3,1,4
Baylor,2005-09-10,2,,Samford,W,6,48,34,23,47,48.9,249,2,29,55,1.9,0,1,2,3
Boise State,2005-09-10,2,@,Oregon State,L,3,27,-3,27,38,71.1,279,1,30,83,2.8,2,2,0,2
Boston College,2005-09-10,2,,Army,W,6,44,37,17,32,53.1,154,1,35,96,2.7,0,1,2,3
Bowling Green State,2005-09-10,2,@,Ball State,W,6,40,9,25,34,73.5,306,4,32,159,5.0,0,0,2,2
Brigham Young,2005-09-10,2,,Eastern Illinois,W,6,45,35,14,29,48.3,126,0,30,70,2.3,1,2,1,3
Buffalo,2005-09-10,2,@,Syracuse,L,0,0,-31,10,22,45.5,139,0,55,348,6.3,4,0,0,0
California,2005-09-10,2,@,Washington,W,8,56,39,22,39,56.4,301,2,27,68,2.5,0,0,1,1
Central Michigan,2005-09-10,2,@,Miami (OH),W,5,38,1,28,47,59.6,397,3,33,127,3.8,1,0,0,0
Cincinnati,2005-09-10,2,@,Penn State,L,3,24,-18,15,22,68.2,245,3,37,148,4.0,3,2,1,3
Clemson,2005-09-10,2,@,Maryland,W,4,28,4,18,28,64.3,288,2,38,56,1.5,1,1,1,2
Colorado,2005-09-10,2,,New Mexico State,W,4,39,39,17,31,54.8,176,0,22,5,0.2,0,1,2,3
Colorado State,2005-09-10,2,@,Minnesota,L,3,24,-32,11,24,45.8,190,2,59,355,6.0,5,0,1,1
Connecticut,2005-09-10,2,,Liberty,W,8,59,59,11,16,68.8,132,0,28,29,1.0,0,3,1,4
Duke,2005-09-10,2,,Virginia Tech,L,0,0,-45,13,22,59.1,182,3,44,180,4.1,2,0,1,1
Eastern Michigan,2005-09-10,2,,Louisiana,W,4,31,21,21,29,72.4,228,0,37,182,4.9,1,4,0,4
Florida,2005-09-10,2,,Louisiana Tech,W,6,41,38,11,32,34.4,117,0,26,45,1.7,0,1,3,4
Florida International,2005-09-10,2,@,Texas Tech,L,0,3,-53,36,45,80.0,518,4,23,135,5.9,4,0,0,0
Florida State,2005-09-10,2,,Citadel,W,8,62,52,16,27,59.3,65,0,32,26,0.8,0,2,1,3
Fresno State,2005-09-10,1,,Weber State,W,8,55,38,23,42,54.8,261,2,35,77,2.2,0,0,1,1
Georgia,2005-09-10,2,,South Carolina,W,2,17,2,22,34,64.7,236,1,23,43,1.9,0,0,2,2
Georgia Tech,2005-09-10,2,,North Carolina,W,3,27,6,18,39,46.2,280,2,26,61,2.3,1,0,3,3
Hawaii,2005-09-10,2,@,Michigan State,L,2,14,-28,21,26,80.8,301,3,41,198,4.8,3,0,0,0
Houston,2005-09-10,2,,Sam Houston State,W,4,31,21,18,39,46.2,179,0,22,136,6.2,1,0,1,1
Idaho,2005-09-10,2,@,Nevada-Las Vegas,L,4,31,-3,22,34,64.7,250,2,41,193,4.7,2,0,1,1
Illinois,2005-09-10,2,,San Jose State,W,4,40,21,19,30,63.3,216,0,25,15,0.6,1,0,1,1
Indiana,2005-09-10,2,,Nicholls State,W,5,35,4,4,11,36.4,51,0,65,408,6.3,4,3,0,3
Iowa,2005-09-10,2,@,Iowa State,L,0,3,-20,14,24,58.3,154,1,55,169,3.1,1,0,1,1
Iowa State,2005-09-10,2,,Iowa,W,3,23,20,15,42,35.7,174,0,32,173,5.4,0,3,2,5
Kansas,2005-09-10,2,,Appalachian State,W,5,36,28,22,35,62.9,178,1,33,133,4.0,0,1,0,1
Kansas State,2005-09-10,2,@,Marshall,W,3,21,2,22,38,57.9,262,0,26,74,2.8,2,3,2,5
Kent State,2005-09-10,2,,Southeast Missouri State,W,4,33,21,34,63,54.0,275,1,32,20,0.6,0,1,3,4
Kentucky,2005-09-10,2,,Idaho State,W,6,41,12,25,38,65.8,291,0,36,157,4.4,2,0,4,4
Louisiana,2005-09-10,2,@,Eastern Michigan,L,1,10,-21,27,39,69.2,268,2,41,156,3.8,2,1,0,1
Louisiana Tech,2005-09-10,1,@,Florida,L,0,3,-38,14,24,58.3,224,2,49,251,5.1,4,1,0,1
Louisiana-Monroe,2005-09-10,2,@,Wyoming,L,0,0,-38,18,31,58.1,254,2,45,210,4.7,3,0,3,3
LSU,2005-09-10,1,@,Arizona State,W,5,35,4,35,56,62.5,461,4,25,99,4.0,0,1,0,1
Marshall,2005-09-10,2,,Kansas State,L,2,19,-2,10,19,52.6,126,2,46,208,4.5,1,2,1,3
Maryland,2005-09-10,2,,Clemson,L,3,24,-4,18,22,81.8,178,2,40,114,2.9,2,0,0,0
Miami (OH),2005-09-10,2,,Central Michigan,L,4,37,-1,26,36,72.2,356,2,38,213,5.6,3,1,1,2
Michigan,2005-09-10,2,,Notre Dame,L,1,10,-7,19,30,63.3,140,2,44,104,2.4,0,1,0,1
Michigan State,2005-09-10,2,,Hawaii,W,6,42,28,25,43,58.1,236,2,28,123,4.4,0,0,1,1
Middle Tennessee State,2005-09-10,2,,North Texas,L,1,7,-7,10,16,62.5,122,0,44,152,3.5,1,0,0,0
Minnesota,2005-09-10,2,,Colorado State,W,8,56,32,21,42,50.0,362,3,25,59,2.4,0,2,1,3
Mississippi State,2005-09-10,2,@,Auburn,L,0,0,-28,12,18,66.7,202,2,41,118,2.9,1,1,0,1
Missouri,2005-09-10,2,,New Mexico,L,4,35,-10,15,27,55.6,229,4,45,202,4.5,1,0,0,0
Navy,2005-09-10,2,,Stanford,L,5,38,-3,21,33,63.6,235,1,35,181,5.2,3,1,0,1
Nebraska,2005-09-10,2,,Wake Forest,W,4,31,28,12,28,42.9,117,0,52,130,2.5,0,1,3,4
New Mexico,2005-09-10,2,@,Missouri,W,6,45,10,32,55,58.2,248,1,50,242,4.8,3,1,2,3
New Mexico State,2005-09-10,2,@,Colorado,L,0,0,-39,22,33,66.7,233,2,50,238,4.8,2,2,0,2
North Carolina,2005-09-10,1,@,Georgia Tech,L,3,21,-6,25,48,52.1,353,2,33,122,3.7,1,0,0,0
North Texas,2005-09-10,1,@,Middle Tennessee State,W,2,14,7,21,27,77.8,195,0,48,188,3.9,1,2,3,5
Northern Illinois,2005-09-10,2,@,Northwestern,L,5,37,-1,21,32,65.6,220,0,47,282,6.0,4,1,0,1
Northwestern,2005-09-10,2,,Northern Illinois,W,5,38,1,24,37,64.9,283,1,41,256,6.2,4,1,1,2
Notre Dame,2005-09-10,2,@,Michigan,W,2,17,7,19,44,43.2,223,1,29,114,3.9,0,1,1,2
Ohio State,2005-09-10,2,,Texas,L,1,22,-3,18,29,62.1,270,2,38,112,2.9,0,1,2,3
Oklahoma,2005-09-10,2,,Tulsa,W,4,31,16,24,36,66.7,246,0,39,98,2.5,1,1,1,2
Oregon,2005-09-10,2,,Montana,W,4,47,33,16,31,51.6,113,2,30,31,1.0,0,1,2,3
