School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Colorado State,2002-08-22,1,@,Virginia,W,3,35,6,18,27,66.7,193,1,49,221,4.5,3,4,1,5
Virginia,2002-08-22,1,,Colorado State,L,4,29,-6,17,27,63.0,229,1,41,187,4.6,2,2,0,2
Fresno State,2002-08-23,1,@,Wisconsin,L,3,21,-2,11,25,44.0,160,0,57,198,3.5,2,2,0,2
Wisconsin,2002-08-23,1,,Fresno State,W,2,23,2,22,43,51.2,275,3,19,34,1.8,0,2,2,4
Arizona State,2002-08-24,1,@,Nebraska,L,1,10,-38,5,13,38.5,33,1,59,283,4.8,3,0,0,0
Florida State,2002-08-24,1,N,Iowa State,W,5,38,7,22,33,66.7,313,2,38,130,3.4,2,1,1,2
Iowa State,2002-08-24,1,N,Florida State,L,4,31,-7,17,25,68.0,210,2,43,239,5.6,2,0,1,1
Nebraska,2002-08-24,1,,Arizona State,W,6,48,38,17,41,41.5,175,0,30,83,2.8,1,0,1,1
New Mexico,2002-08-24,1,@,North Carolina State,L,2,14,-20,15,27,55.6,276,3,46,134,2.9,2,1,1,2
North Carolina State,2002-08-24,1,,New Mexico,W,5,34,20,19,35,54.3,157,1,24,85,3.5,1,1,2,3
Ohio State,2002-08-24,1,,Texas Tech,W,6,45,24,26,44,59.1,341,3,20,31,1.6,0,0,1,1
Texas Tech,2002-08-24,1,@,Ohio State,L,3,21,-24,13,17,76.5,160,0,57,317,5.6,6,0,0,0
Arkansas State,2002-08-25,1,@,Virginia Tech,L,1,7,-56,11,18,61.1,99,2,41,288,7.0,4,1,0,1
Virginia Tech,2002-08-25,1,,Arkansas State,W,9,63,56,14,27,51.9,203,1,33,24,0.7,0,4,1,5
Bowling Green State,2002-08-29,1,,Tennessee Tech,W,5,41,34,24,35,68.6,294,1,25,38,1.5,0,2,1,3
Brigham Young,2002-08-29,1,,Syracuse,W,6,42,21,8,24,33.3,128,0,42,198,4.7,3,1,2,3
Buffalo,2002-08-29,1,,Lehigh,L,3,26,-11,23,42,54.8,334,3,45,174,3.9,1,1,2,3
Central Michigan,2002-08-29,1,,Sam Houston State,W,5,34,24,17,36,47.2,218,1,32,32,1.0,0,2,2,4
Fresno State,2002-08-29,2,,San Diego State,W,1,16,2,25,37,67.6,240,1,24,38,1.6,1,1,1,2
Kent State,2002-08-29,1,,New Hampshire,W,4,34,27,21,33,63.6,177,1,41,161,3.9,0,1,0,1
Northern Illinois,2002-08-29,1,,Wake Forest,W,5,42,1,9,17,52.9,107,0,50,344,6.9,5,0,0,0
Oregon State,2002-08-29,1,,Eastern Kentucky,W,7,49,39,11,23,47.8,100,0,47,102,2.2,0,3,4,7
San Diego State,2002-08-29,1,@,Fresno State,L,2,14,-2,21,35,60.0,196,1,38,66,1.7,0,1,0,1
South Florida,2002-08-29,1,,Florida Atlantic,W,6,51,41,11,24,45.8,178,1,43,-36,-0.8,0,2,1,3
Syracuse,2002-08-29,1,@,Brigham Young,L,3,21,-21,36,55,65.5,397,3,39,218,5.6,3,2,1,3
Temple,2002-08-29,1,,Richmond,W,4,34,27,8,17,47.1,133,1,42,71,1.7,0,3,2,5
Toledo,2002-08-29,1,,Cal Poly,W,6,44,28,14,21,66.7,109,0,31,64,2.1,2,0,1,1
Wake Forest,2002-08-29,1,@,Northern Illinois,L,6,41,-1,14,26,53.8,214,2,54,206,3.8,2,2,2,4
Western Michigan,2002-08-29,1,,Indiana State,W,6,48,31,8,16,50.0,42,0,44,155,3.5,1,2,2,4
Oklahoma,2002-08-30,1,@,Tulsa,W,5,37,37,12,22,54.5,111,0,38,102,2.7,0,2,0,2
Tulsa,2002-08-30,1,,Oklahoma,L,0,0,-37,16,28,57.1,131,0,42,378,9.0,4,1,2,3
Air Force,2002-08-31,1,,Northwestern,W,7,52,49,19,36,52.8,180,0,27,41,1.5,0,1,0,1
Akron,2002-08-31,1,@,Iowa,L,3,21,-36,12,20,60.0,217,2,45,376,8.4,4,1,0,1
Alabama,2002-08-31,1,,Middle Tennessee State,W,5,39,5,17,25,68.0,202,0,38,183,4.8,4,0,1,1
Arizona,2002-08-31,1,,Northern Arizona,W,4,37,34,11,25,44.0,87,0,28,115,4.1,0,1,1,2
Arizona State,2002-08-31,2,,Eastern Washington,W,5,38,36,19,38,50.0,216,0,20,-13,-0.7,0,0,1,1
Arkansas State,2002-08-31,2,,San Jose State,L,2,14,-19,14,31,45.2,162,1,39,148,3.8,1,3,1,4
Baylor,2002-08-31,1,@,California,L,3,22,-48,22,30,73.3,355,5,31,105,3.4,3,0,0,0
Boise State,2002-08-31,1,,Idaho,W,5,38,17,26,41,63.4,272,2,32,93,2.9,1,0,2,2
Boston College,2002-08-31,1,,Connecticut,W,3,24,8,24,38,63.2,203,1,34,40,1.2,1,0,2,2
California,2002-08-31,1,,Baylor,W,10,70,48,23,39,59.0,323,1,40,79,2.0,2,1,4,5
Clemson,2002-08-31,1,@,Georgia,L,4,28,-3,15,25,60.0,117,2,39,86,2.2,1,2,1,3
Colorado,2002-08-31,1,N,Colorado State,L,2,14,-5,11,24,45.8,168,0,38,152,4.0,3,0,1,1
Colorado State,2002-08-31,2,N,Colorado,W,3,19,5,14,27,51.9,199,0,48,170,3.5,1,2,1,3
Connecticut,2002-08-31,1,@,Boston College,L,2,16,-8,19,33,57.6,239,3,34,114,3.4,0,1,2,3
Duke,2002-08-31,1,,East Carolina,W,2,23,7,13,34,38.2,130,1,27,25,0.9,1,1,3,4
East Carolina,2002-08-31,1,@,Duke,L,2,16,-7,10,20,50.0,86,0,49,155,3.2,1,0,0,0
Eastern Michigan,2002-08-31,1,@,Michigan State,L,1,7,-49,15,25,60.0,256,4,48,369,7.7,4,0,1,1
Florida,2002-08-31,1,,Alabama-Birmingham,W,7,51,48,11,31,35.5,90,0,37,150,4.1,0,1,0,1
Florida State,2002-08-31,2,,Virginia,W,5,40,21,20,32,62.5,251,3,33,62,1.9,0,3,0,3
Georgia,2002-08-31,1,,Clemson,W,4,31,3,17,37,45.9,165,1,34,68,2.0,2,0,1,1
Georgia Tech,2002-08-31,1,,Vanderbilt,W,6,45,42,13,28,46.4,116,0,31,109,3.5,0,0,2,2
Hawaii,2002-08-31,1,,Eastern Illinois,W,8,61,25,30,55,54.5,319,4,39,156,4.0,1,1,2,3
Houston,2002-08-31,1,@,Rice,W,3,24,14,8,27,29.6,84,0,37,188,5.1,1,2,0,2
Idaho,2002-08-31,1,@,Boise State,L,3,21,-17,20,25,80.0,270,1,37,233,6.3,4,0,0,0
Illinois,2002-08-31,1,N,Missouri,L,3,20,-13,15,26,57.7,152,0,54,285,5.3,4,2,0,2
Indiana,2002-08-31,1,,William & Mary,W,3,25,8,20,41,48.8,259,2,29,-32,-1.1,0,2,2,4
Iowa,2002-08-31,1,,Akron,W,7,57,36,28,38,73.7,296,2,36,67,1.9,1,2,1,3
Iowa State,2002-08-31,2,,Kansas,W,6,45,42,10,32,31.3,81,0,33,69,2.1,0,0,3,3
