School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Colorado State,2018-08-25,1,,Hawaii,L,34,50,68.0,537,5,25,116,4.6,0,5,1,0,1,1
Hawaii,2018-08-25,1,@,Colorado State,W,26,37,70.3,418,3,36,199,5.5,2,2,,1,0,1
Massachusetts,2018-08-25,1,,Duquesne,W,19,28,67.9,290,4,38,284,7.5,4,6,,1,0,1
New Mexico State,2018-08-25,1,,Wyoming,L,18,33,54.5,144,1,16,-9,-0.6,0,5,,0,0,0
Rice,2018-08-25,1,,Prairie View A&M,W,12,24,50.0,87,0,50,310,6.2,3,4,3,0,0,0
Wyoming,2018-08-25,1,@,New Mexico State,W,13,22,59.1,137,0,56,313,5.6,3,7,3,0,0,0
Ball State,2018-08-30,1,,Central Connecticut State,W,28,36,77.8,336,3,47,318,6.8,3,4,1,1,0,1
Connecticut,2018-08-30,1,,Central Florida,L,27,41,65.9,266,1,46,220,4.8,1,0,,2,1,3
Georgia State,2018-08-30,1,,Kennesaw State,W,20,28,71.4,187,3,37,130,3.5,0,3,1,1,0,1
Louisiana-Monroe,2018-08-30,1,,Southeastern Louisiana,W,35,53,66.0,346,2,43,208,4.8,2,6,3,1,1,2
Minnesota,2018-08-30,1,,New Mexico State,W,17,34,50.0,227,2,46,300,6.5,3,8,4,1,0,1
New Mexico State,2018-08-30,2,@,Minnesota,L,29,58,50.0,233,1,20,38,1.9,0,2,,0,1,1
Northwestern,2018-08-30,1,@,Purdue,W,23,37,62.2,235,0,42,166,4.0,4,5,2,0,0,0
Oklahoma State,2018-08-30,1,,Missouri State,W,25,37,67.6,296,5,55,436,7.9,3,11,5,1,1,2
Purdue,2018-08-30,1,,Northwestern,L,30,46,65.2,270,1,25,202,8.1,2,3,,0,3,3
San Jose State,2018-08-30,1,,California-Davis,L,28,52,53.8,365,3,38,141,3.7,2,7,2,1,2,3
Texas A&M,2018-08-30,1,,Northwestern State,W,23,35,65.7,255,3,61,503,8.2,5,5,,1,0,1
Tulane,2018-08-30,1,,Wake Forest,L,19,38,50.0,283,2,41,153,3.7,0,4,1,1,0,1
UAB,2018-08-30,1,,Savannah State,W,23,29,79.3,263,2,53,287,5.4,4,4,2,1,1,2
UCF,2018-08-30,1,@,Connecticut,W,26,34,76.5,356,5,36,296,8.2,3,8,,0,0,0
Utah,2018-08-30,1,,Weber State,W,26,41,63.4,293,4,36,294,8.2,1,11,2,3,1,4
Wake Forest,2018-08-30,1,@,Tulane,W,31,51,60.8,378,2,43,170,4.0,1,6,3,1,2,3
Army,2018-08-31,1,@,Duke,L,10,21,47.6,197,1,47,168,3.6,1,5,1,2,0,2
Colorado,2018-08-31,1,N,Colorado State,W,22,25,88.0,338,4,40,258,6.5,2,9,3,1,1,2
Colorado State,2018-08-31,2,N,Colorado,L,19,37,51.4,181,1,39,103,2.6,0,3,,0,1,1
Duke,2018-08-31,1,,Army,W,13,17,76.5,197,1,35,184,5.3,3,2,1,1,0,1
Eastern Michigan,2018-08-31,1,,Monmouth,W,22,27,81.5,302,5,39,171,4.4,2,6,3,0,0,0
Michigan State,2018-08-31,1,,Utah State,W,23,33,69.7,287,2,42,165,3.9,2,4,2,1,1,2
Nevada,2018-08-31,1,,Portland State,W,18,28,64.3,420,4,35,216,6.2,4,8,4,0,1,1
San Diego State,2018-08-31,1,@,Stanford,L,10,15,66.7,113,0,37,150,4.1,1,4,1,1,0,1
Stanford,2018-08-31,1,,San Diego State,W,21,31,67.7,332,4,28,50,1.8,0,7,5,0,1,1
Syracuse,2018-08-31,1,@,Western Michigan,W,11,28,39.3,226,2,62,334,5.4,5,4,1,1,0,1
Utah State,2018-08-31,1,@,Michigan State,L,29,44,65.9,319,0,25,25,1.0,3,3,3,0,2,2
Western Kentucky,2018-08-31,1,@,Wisconsin,L,17,30,56.7,181,0,34,124,3.6,0,5,3,1,1,2
Western Michigan,2018-08-31,1,,Syracuse,L,19,36,52.8,379,3,28,242,8.6,3,4,2,0,2,2
Wisconsin,2018-08-31,1,,Western Kentucky,W,17,31,54.8,257,2,39,234,6.0,2,4,1,1,0,1
Air Force,2018-09-01,1,,Stony Brook,W,2,8,25.0,29,0,77,333,4.3,4,4,2,2,0,2
Alabama,2018-09-01,1,N,Louisville,W,17,26,65.4,297,2,42,222,5.3,3,11,3,1,0,1
Appalachian State,2018-09-01,1,@,Penn State,L,26,39,66.7,292,2,37,159,4.3,2,2,1,0,1,1
Arizona,2018-09-01,1,,Brigham Young,L,17,34,50.0,197,1,35,129,3.7,2,2,,0,0,0
Arizona State,2018-09-01,1,,Texas-San Antonio,W,16,24,66.7,237,4,35,267,7.6,2,15,9,0,0,0
Arkansas,2018-09-01,1,,Eastern Illinois,W,21,29,72.4,353,4,37,80,2.2,2,8,2,0,0,0
Arkansas State,2018-09-01,1,,Southeast Missouri State,W,28,40,70.0,497,7,39,188,4.8,0,11,3,1,2,3
Auburn,2018-09-01,1,N,Washington,W,26,36,72.2,273,1,45,147,3.3,1,9,5,0,0,0
Baylor,2018-09-01,1,,Abilene Christian,W,18,28,64.3,311,2,36,295,8.2,5,7,1,0,1,1
Boise State,2018-09-01,1,@,Troy,W,20,28,71.4,305,4,29,111,3.8,2,8,5,1,0,1
Boston College,2018-09-01,1,,Massachusetts,W,21,27,77.8,326,4,59,273,4.6,3,8,6,0,0,0
Bowling Green State,2018-09-01,1,@,Oregon,L,22,38,57.9,253,3,49,155,3.2,0,3,1,1,2,3
Brigham Young,2018-09-01,1,@,Arizona,W,18,28,64.3,209,1,43,183,4.3,3,2,1,0,0,0
Buffalo,2018-09-01,1,,Delaware State,W,19,29,65.5,200,6,37,154,4.2,1,7,1,0,0,0
California,2018-09-01,1,,North Carolina,W,16,32,50.0,119,1,49,160,3.3,1,2,,0,0,0
Central Michigan,2018-09-01,1,@,Kentucky,L,17,27,63.0,137,0,39,118,3.0,1,2,1,0,0,0
Charlotte,2018-09-01,1,,Fordham,W,13,20,65.0,267,1,47,221,4.7,2,4,4,1,0,1
Cincinnati,2018-09-01,1,@,UCLA,W,14,26,53.8,110,0,51,194,3.8,3,8,5,1,0,1
Clemson,2018-09-01,1,,Furman,W,22,35,62.9,277,4,34,266,7.8,2,10,3,0,0,0
Coastal Carolina,2018-09-01,1,@,South Carolina,L,13,18,72.2,112,1,38,131,3.4,0,1,,1,0,1
Florida,2018-09-01,1,,Charleston Southern,W,19,27,70.4,241,5,39,203,5.2,1,8,3,0,0,0
Florida Atlantic,2018-09-01,1,@,Oklahoma,L,18,32,56.3,192,0,42,132,3.1,2,6,3,0,1,1
Florida International,2018-09-01,1,,Indiana,L,17,28,60.7,157,1,39,170,4.4,3,3,1,2,1,3
Fresno State,2018-09-01,1,,Idaho,W,21,29,72.4,247,1,42,241,5.7,7,4,1,0,0,0
Georgia,2018-09-01,1,,Austin Peay,W,21,27,77.8,224,3,33,284,8.6,3,3,,1,0,1
Georgia Southern,2018-09-01,1,,South Carolina State,W,5,7,71.4,29,0,53,319,6.0,5,5,3,0,0,0
Georgia Tech,2018-09-01,1,,Alcorn State,W,9,18,50.0,104,1,54,439,8.1,4,4,1,2,1,3
Hawaii,2018-09-01,2,,Navy,W,31,42,73.8,436,6,26,90,3.5,1,5,3,1,0,1
Houston,2018-09-01,1,@,Rice,W,18,25,72.0,320,3,37,251,6.8,3,9,3,2,0,2
Illinois,2018-09-01,1,,Kent State,W,13,23,56.5,190,0,47,284,6.0,4,12,1,1,0,1
Indiana,2018-09-01,1,@,Florida International,W,28,37,75.7,252,4,45,213,4.7,0,5,1,0,1,1
Iowa,2018-09-01,1,,Northern Illinois,W,13,25,52.0,143,1,48,209,4.4,3,8,5,0,1,1
Kansas,2018-09-01,1,,Nicholls State,L,21,38,55.3,199,2,32,56,1.8,0,5,1,1,0,1
Kansas State,2018-09-01,1,,South Dakota,W,13,28,46.4,152,1,47,256,5.4,0,3,1,2,2,4
Kent State,2018-09-01,1,@,Illinois,L,28,41,68.3,270,2,42,184,4.4,1,6,3,0,2,2
Kentucky,2018-09-01,1,,Central Michigan,W,15,27,55.6,128,1,43,299,7.0,4,6,2,2,2,4
