School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Arizona,2015-09-03,1,,Texas-San Antonio,W,6,42,10,25,45,55.6,332,2,50,193,3.9,2,1,1,2
Ball State,2015-09-03,1,,Virginia Military Institute,W,6,48,12,35,49,71.4,444,0,29,103,3.6,0,2,0,2
Central Michigan,2015-09-03,1,,Oklahoma State,L,1,13,-11,22,32,68.8,266,1,35,153,4.4,2,0,0,0
Colorado,2015-09-03,1,@,Hawaii,L,2,20,-8,19,38,50.0,202,3,34,100,2.9,0,0,2,2
Connecticut,2015-09-03,1,,Villanova,W,3,20,5,18,33,54.5,189,0,36,114,3.2,0,1,1,2
Duke,2015-09-03,1,@,Tulane,W,4,37,30,24,42,57.1,246,1,23,25,1.1,0,0,1,1
Florida International,2015-09-03,1,@,Central Florida,W,2,15,1,23,34,67.6,249,2,29,46,1.6,0,0,0,0
Fresno State,2015-09-03,1,,Abilene Christian,W,4,34,21,30,45,66.7,213,0,29,34,1.2,0,0,2,2
Georgia Tech,2015-09-03,1,,Alcorn State,W,10,69,63,10,28,35.7,106,0,39,166,4.3,0,2,1,3
Hawaii,2015-09-03,1,,Colorado,W,3,28,8,23,40,57.5,156,0,53,215,4.1,2,2,1,3
Idaho,2015-09-03,1,,Ohio,L,3,28,-17,20,25,80.0,284,3,38,205,5.4,2,1,0,1
Michigan,2015-09-03,1,@,Utah,L,2,17,-7,24,33,72.7,208,0,37,129,3.5,2,0,1,1
Minnesota,2015-09-03,1,,Texas Christian,L,2,17,-6,26,42,61.9,246,1,44,203,4.6,1,1,1,2
Nevada,2015-09-03,1,,California-Davis,W,4,31,14,32,47,68.1,238,0,27,89,3.3,0,0,0,0
North Carolina,2015-09-03,1,N,South Carolina,L,1,13,-4,12,27,44.4,140,1,47,254,5.4,1,0,0,0
Ohio,2015-09-03,1,@,Idaho,W,6,45,17,36,48,75.0,297,1,28,100,3.6,2,1,2,3
Oklahoma State,2015-09-03,1,@,Central Michigan,W,3,24,11,29,42,69.0,265,0,28,78,2.8,1,0,1,1
San Jose State,2015-09-03,1,,New Hampshire,W,6,43,30,10,25,40.0,60,0,26,126,4.8,0,0,0,0
South Carolina,2015-09-03,1,N,North Carolina,W,2,17,4,19,31,61.3,232,1,32,208,6.5,0,0,3,3
Texas Christian,2015-09-03,1,@,Minnesota,W,2,23,6,19,35,54.3,197,1,39,144,3.7,1,2,0,2
Tulane,2015-09-03,1,,Duke,L,1,7,-30,29,44,65.9,324,2,49,206,4.2,1,2,0,2
UCF,2015-09-03,1,,Florida International,L,2,14,-1,29,38,76.3,260,1,31,131,4.2,1,1,0,1
Utah,2015-09-03,1,,Michigan,W,3,24,7,27,43,62.8,279,2,29,76,2.6,0,0,3,3
Utah State,2015-09-03,1,,Southern Utah,W,1,12,3,17,34,50.0,111,0,30,52,1.7,0,0,0,0
UTSA,2015-09-03,1,@,Arizona,L,4,32,-10,22,36,61.1,229,4,38,163,4.3,0,1,0,1
Vanderbilt,2015-09-03,1,,Western Kentucky,L,1,12,-2,19,30,63.3,209,1,23,37,1.6,1,0,0,0
Wake Forest,2015-09-03,1,,Elon,W,5,41,38,15,28,53.6,100,0,19,51,2.7,0,0,0,0
Western Kentucky,2015-09-03,1,@,Vanderbilt,W,2,14,2,18,34,52.9,217,1,42,176,4.2,0,1,2,3
Army,2015-09-04,1,,Fordham,L,5,35,-2,15,23,65.2,322,0,37,123,3.3,0,1,0,1
Baylor,2015-09-04,1,@,Southern Methodist,W,8,56,35,16,24,66.7,166,2,54,203,3.8,1,0,2,2
Boise State,2015-09-04,1,,Washington,W,2,16,3,20,35,57.1,150,0,22,29,1.3,0,0,1,1
Charlotte,2015-09-04,1,@,Georgia State,W,2,23,3,25,43,58.1,299,2,26,93,3.6,0,2,1,3
Georgia State,2015-09-04,1,,Charlotte,L,2,20,-3,19,32,59.4,244,1,54,164,3.0,0,2,2,4
Michigan State,2015-09-04,1,@,Western Michigan,W,5,37,13,33,50,66.0,365,2,23,18,0.8,0,0,2,2
Oregon State,2015-09-04,1,,Weber State,W,2,26,19,19,36,52.8,120,0,18,58,3.2,0,0,1,1
SMU,2015-09-04,1,,Baylor,L,3,21,-35,17,32,53.1,423,6,37,300,8.1,2,0,1,1
Syracuse,2015-09-04,1,,Rhode Island,W,6,47,47,10,20,50.0,60,0,20,4,0.2,0,3,1,4
Washington,2015-09-04,1,@,Boise State,L,1,13,-3,17,27,63.0,152,0,53,185,3.5,2,1,1,2
