"Team (Record)","Rating","Offense","Defense","Special Teams"
"1. Alabama (5-0)",31.8,"46.4 (3)","14.5 (8)","-0.1 (84)"
"2. Ohio St. (5-0)",31.5,"43.8 (5)","12.3 (3)","0.0 (55)"
"3. Oklahoma (4-0)",28.3,"51.9 (1)","23.4 (42)","-0.2 (97)"
"4. Georgia (4-0)",26.5,"40.9 (8)","14.8 (12)","0.4 (12)"
"5. LSU (4-0)",25.7,"46.9 (2)","21.9 (35)","0.7 (1)"
"6. Clemson (5-0)",24.5,"38.3 (15)","13.8 (5)","0.0 (68)"
"7. Penn St. (4-0)",24.5,"40.6 (9)","16.4 (16)","0.3 (19)"
"8. Wisconsin (4-0)",23.3,"35.5 (28)","11.7 (1)","-0.5 (127)"
"9. Auburn (5-0)",21.7,"37.9 (16)","16.5 (18)","0.3 (25)"
"10. Florida (5-0)",21.5,"36.3 (22)","15.2 (14)","0.4 (16)"
"11. Washington (4-1)",21,"39.4 (13)","18.9 (28)","0.5 (6)"
"12. Oregon (3-1)",19.2,"32.1 (45)","12.5 (4)","-0.4 (118)"
"13. Michigan (3-1)",18.5,"31.8 (48)","13.8 (6)","0.5 (4)"
"14. UCF (4-1)",17.8,"36.0 (25)","18.2 (26)","0.0 (69)"
"15. Missouri (3-1)",17.8,"31.7 (49)","14.3 (7)","0.4 (11)"
"16. Texas (3-1)",17.6,"44.0 (4)","26.8 (61)","0.5 (7)"
"17. Utah (4-1)",17.5,"37.2 (18)","19.5 (31)","-0.1 (83)"
"18. Oklahoma St. (4-1)",17.4,"39.8 (12)","22.5 (37)","0.0 (66)"
"19. TCU (3-1)",17.3,"33.6 (35)","16.4 (17)","0.2 (39)"
"20. Iowa (4-0)",17,"34.4 (30)","17.8 (22)","0.4 (13)"
"21. Michigan St. (4-1)",17,"29.2 (62)","12.0 (2)","-0.1 (90)"
"22. Notre Dame (3-1)",16.7,"36.2 (24)","19.6 (32)","0.1 (43)"
"23. Texas A&M (3-2)",15.6,"33.3 (38)","17.8 (23)","0.2 (36)"
"24. Iowa St. (2-2)",15.5,"33.5 (37)","17.8 (24)","-0.2 (93)"
"25. Memphis (4-0)",15.4,"29.7 (57)","14.6 (9)","0.3 (17)"
"26. Baylor (4-0)",14.9,"32.4 (42)","17.2 (20)","-0.3 (110)"
"27. Miss. St. (3-2)",12.6,"37.3 (17)","24.3 (46)","-0.4 (122)"
"28. USC (3-2)",11.9,"36.9 (19)","25.1 (51)","0.1 (40)"
"29. Indiana (3-2)",11.9,"34.8 (29)","23.1 (40)","0.2 (29)"
"30. Wash. St. (3-2)",11.3,"42.5 (6)","31.5 (84)","0.3 (21)"
"31. Miami (2-2)",11.3,"29.1 (65)","17.7 (21)","-0.1 (86)"
"32. Arizona St. (4-1)",10.6,"25.0 (89)","14.6 (10)","0.3 (26)"
"33. Minnesota (4-0)",10.4,"39.2 (14)","28.5 (67)","-0.2 (96)"
