Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Sean Baker,2009-09-03,1,Ball State,,North Texas,L,sean-baker-1,1.0,0.0,0.0,1.0
James Brindley,2009-09-03,1,Utah State,@,Utah,L,james-brindley-1,1.0,20.0,0.0,1.0
Royce Hill,2009-09-03,1,North Texas,@,Ball State,W,royce-hill-1,1.0,57.0,0.0,1.0
Justin Jones,2009-09-03,1,Utah,,Utah State,W,justin-jones-2,1.0,0.0,0.0,1.0
Brian Lainhart,2009-09-03,1,Kent State,,Coastal Carolina,W,brian-lainhart-1,1.0,16.0,0.0,1.0
Michael Lemon,2009-09-03,1,North Carolina State,,South Carolina,L,michael-lemon-1,1.0,0.0,0.0,1.0
David Sims,2009-09-03,1,Iowa State,,North Dakota State,W,david-sims-1,1.0,0.0,0.0,1.0
Adrien Spencer,2009-09-03,1,Bowling Green State,,Troy,W,adrien-spencer-1,1.0,64.0,1.0,2.0
Aaron Tevis,2009-09-03,1,Boise State,,Oregon,W,aaron-tevis-1,1.0,11.0,0.0,1.0
Roger Williams,2009-09-03,1,Bowling Green State,,Troy,W,roger-williams-3,1.0,13.0,0.0,1.0
Bryan Willis,2009-09-03,1,Troy,@,Bowling Green State,L,bryan-willis-1,1.0,0.0,0.0,2.0
Mike Bryan,2009-09-04,1,Tulsa,@,Tulane,W,mike-bryan-1,1.0,18.0,0.0,1.0
John Destin,2009-09-04,1,Tulsa,@,Tulane,W,john-destin-1,1.0,32.0,0.0,1.0
Prince Amukamara,2009-09-05,1,Nebraska,,Florida Atlantic,W,prince-amukamara-1,1.0,0.0,0.0,1.0
Mikail Baker,2009-09-05,1,Baylor,@,Wake Forest,W,mikail-baker-1,1.0,1.0,0.0,1.0
Daren Bates,2009-09-05,1,Auburn,,Louisiana Tech,W,daren-bates-1,1.0,0.0,0.0,1.0
Dwight Bentley,2009-09-05,1,Louisiana,,Southern,W,dwight-bentley-1,1.0,-6.0,0.0,0.0
Robert Blanton,2009-09-05,1,Notre Dame,,Nevada,W,robert-blanton-1,1.0,0.0,0.0,1.0
Nolan Brewster,2009-09-05,1,Texas,,Louisiana-Monroe,W,nolan-brewster-1,1.0,0.0,0.0,
Corey Broomfield,2009-09-05,1,Mississippi State,,Jackson State,W,corey-broomfield-1,1.0,43.0,1.0,1.0
