Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
Jude Adjei-Barimah,2013-08-29,1,Bowling Green State,,Tulsa,W,0,0,0,1,jude-adjei-barimah-1
Maurice Alexander,2013-08-29,1,Utah State,@,Utah,L,0,0,0,2,maurice-alexander-1
Caleb Azubike,2013-08-29,1,Vanderbilt,,Mississippi,L,0,0,0,1,caleb-azubike-1
Dion Bailey,2013-08-29,1,Southern California,@,Hawaii,W,1,0,0,1,dion-bailey-1
Josh Banks,2013-08-29,1,Wake Forest,,Presbyterian,W,0,0,0,1,josh-banks-2
Tim Bennett,2013-08-29,1,Indiana,,Indiana State,W,0,0,0,3,tim-bennett-1
Bene Benwikere,2013-08-29,1,San Jose State,,Sacramento State,W,1,33,0,3,bene-benwikere-1
Kwamane Bowens,2013-08-29,1,Hawaii,,Southern California,L,0,0,0,1,kwamane-bowens-1
Terrance Bush,2013-08-29,1,Bowling Green State,,Tulsa,W,0,0,0,1,terrance-bush-1
Karl Butler,2013-08-29,1,Vanderbilt,,Mississippi,L,0,0,0,1,karl-butler-1
Steven Clarke,2013-08-29,1,Vanderbilt,,Mississippi,L,0,0,0,1,steven-clarke-1
Tony Conner,2013-08-29,1,Mississippi,@,Vanderbilt,W,1,0,0,1,tony-conner-1
Simon Connette,2013-08-29,1,San Jose State,,Sacramento State,W,0,0,0,1,simon-connette-1
Frank Crawford,2013-08-29,1,Nevada-Las Vegas,@,Minnesota,L,0,0,0,1,frank-crawford-3
Clifton Crews,2013-08-29,1,South Alabama,,Southern Utah,L,0,0,0,2,clifton-crews-1
Dylan Evans,2013-08-29,1,Akron,@,Central Florida,L,0,0,0,1,dylan-evans-1
Quadarius Ford,2013-08-29,1,South Alabama,,Southern Utah,L,0,0,0,1,quadarius-ford-1
Steven Funderburk,2013-08-29,1,Indiana,,Indiana State,W,0,0,0,1,steven-funderburk-2
Jacoby Glenn,2013-08-29,1,Central Florida,,Akron,W,0,0,0,3,jacoby-glenn-1
Issac Gross,2013-08-29,1,Mississippi,@,Vanderbilt,W,0,0,0,1,issac-gross-1
Garrett Guanella,2013-08-29,1,San Jose State,,Sacramento State,W,0,0,0,1,garrett-guanella-1
T.J. Gurley,2013-08-29,1,South Carolina,,North Carolina,W,0,0,0,1,tj-gurley-1
Ra'Shede Hageman,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,0,0,0,1,rashede-hageman-1
Andre Hal,2013-08-29,1,Vanderbilt,,Mississippi,L,0,0,0,3,andre-hal-1
Jacoby Hale,2013-08-29,1,Utah,,Utah State,W,0,0,0,1,jacoby-hale-1
John Hardy-Tuliau,2013-08-29,1,Hawaii,,Southern California,L,0,0,0,1,john-hardy-tuliau-1
Torin Harris,2013-08-29,1,Southern California,@,Hawaii,W,0,0,0,2,torin-harris-1
Darreon Herring,2013-08-29,1,Vanderbilt,,Mississippi,L,0,0,0,2,darreon-herring-1
Martez Hester,2013-08-29,1,Ball State,,Illinois State,W,0,0,0,1,martez-hester-1
Aaron Hill,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,0,0,0,1,aaron-hill-2
Sidney Hodge,2013-08-29,1,Nevada-Las Vegas,@,Minnesota,L,0,0,0,2,sidney-hodge-1
Marrell Jackson,2013-08-29,1,Hawaii,,Southern California,L,1,0,0,1,marrell-jackson-1
Shawn Jackson,2013-08-29,1,Tulsa,@,Bowling Green State,L,0,0,0,1,shawn-jackson-1
Kevin Johnson,2013-08-29,1,Wake Forest,,Presbyterian,W,1,0,0,2,kevin-johnson-7
Kevis Jones,2013-08-29,1,Wake Forest,,Presbyterian,W,0,0,0,1,kevis-jones-1
Devon Kennard,2013-08-29,1,Southern California,@,Hawaii,W,0,0,0,2,devon-kennard-1
Grayson Levine,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,0,0,0,1,grayson-levine-1
Donavon Lewis,2013-08-29,1,Fresno State,,Rutgers,W,0,0,0,1,donavon-lewis-1
Taylor Mack,2013-08-29,1,Connecticut,,Towson,L,0,0,0,1,taylor-mack-1
James Manuel,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,0,0,0,1,james-manuel-1
Nico Marley,2013-08-29,1,Tulane,,Jackson State,W,0,0,0,1,nico-marley-1
Trent Martin,2013-08-29,1,Tulsa,@,Bowling Green State,L,0,0,0,1,trent-martin-1
Keith McGill,2013-08-29,1,Utah,,Utah State,W,0,0,0,1,keith-mcgill-1
Obi Melifonwu,2013-08-29,1,Connecticut,,Towson,L,1,0,0,1,obi-melifonwu-1
David Milewski,2013-08-29,1,Rutgers,@,Fresno State,L,0,0,0,1,david-milewski-1
Darion Monroe,2013-08-29,1,Tulane,,Jackson State,W,0,0,0,1,darion-monroe-1
Kenny Mullen,2013-08-29,1,Indiana,,Indiana State,W,0,0,0,1,kenny-mullen-1
Eric Murray,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,0,0,0,4,eric-murray-1
Roosevelt Nix,2013-08-29,1,Kent State,,Liberty,W,0,0,0,1,roosevelt-nix-1
Robert Nkemdiche,2013-08-29,1,Mississippi,@,Vanderbilt,W,0,0,0,1,robert-nkemdiche-1
Lionell Phillips,2013-08-29,1,Tulsa,@,Bowling Green State,L,0,0,0,1,lionell-phillips-1
Ne'Quan Phillips,2013-08-29,1,Hawaii,,Southern California,L,0,0,0,1,nequan-phillips-1
Terrance Plummer,2013-08-29,1,Central Florida,,Akron,W,0,0,0,1,terrance-plummer-1
Darius Polk,2013-08-29,1,Kent State,,Liberty,W,0,0,0,1,darius-polk-1
Cody Prewitt,2013-08-29,1,Mississippi,@,Vanderbilt,W,1,2,0,1,cody-prewitt-1
Jimmy Pruitt,2013-08-29,1,San Jose State,,Sacramento State,W,0,0,0,1,jimmy-pruitt-1
Darien Rankin,2013-08-29,1,North Carolina,@,South Carolina,L,0,0,0,1,darien-rankin-1
Trevor Reilly,2013-08-29,1,Utah,,Utah State,W,0,0,0,1,trevor-reilly-1
Zack Ryan,2013-08-29,1,Ball State,,Illinois State,W,0,0,0,1,zack-ryan-1
Moses Samia,2013-08-29,1,Hawaii,,Southern California,L,0,0,0,1,moses-samia-1
Martez Shabazz,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,0,0,0,1,martez-shabazz-1
Devian Shelton,2013-08-29,1,Southern California,@,Hawaii,W,0,0,0,2,devian-shelton-1
Tanzel Smart,2013-08-29,1,Tulane,,Jackson State,W,0,0,0,1,tanzel-smart-1
Derron Smith,2013-08-29,1,Fresno State,,Rutgers,W,1,2,0,1,derron-smith-1
Jordan Sullen,2013-08-29,1,Tulane,,Jackson State,W,1,0,0,1,jordan-sullen-1
Lewis Toler,2013-08-29,1,Rutgers,@,Fresno State,L,0,0,0,1,lewis-toler-1
Cameron Truss,2013-08-29,1,Bowling Green State,,Tulsa,W,0,0,0,1,cameron-truss-1
Ryland Ward,2013-08-29,1,Bowling Green State,,Tulsa,W,0,0,0,1,ryland-ward-1
Charles Watson,2013-08-29,1,South Alabama,,Southern Utah,L,0,0,0,1,charles-watson-1
Bradley White,2013-08-29,1,Tulsa,@,Bowling Green State,L,0,0,0,1,bradley-white-1
Donte Williams,2013-08-29,1,Akron,@,Central Florida,L,0,0,0,1,donte-williams-1
Enrique Williams,2013-08-29,1,South Alabama,,Southern Utah,L,0,0,0,1,enrique-williams-1
Tavita Woodard,2013-08-29,1,Hawaii,,Southern California,L,0,0,0,2,tavita-woodard-1
Kenneth Acker,2013-08-30,1,Southern Methodist,,Texas Tech,L,0,0,0,2,kenneth-acker-1
Beau Barnes,2013-08-30,1,Southern Methodist,,Texas Tech,L,0,0,0,1,beau-barnes-1
Marquel Bryant,2013-08-30,1,Kansas State,,North Dakota State,L,0,0,0,1,marquel-bryant-1
Artie Burns,2013-08-30,1,Miami (FL),,Florida Atlantic,W,0,0,0,1,artie-burns-1
Wayne Capers Jr.,2013-08-30,1,Arizona,,Northern Arizona,W,0,0,0,1,wayne-capers-jr-1
Donald Celiscar,2013-08-30,1,Western Michigan,@,Michigan State,L,0,0,0,2,donald-celiscar-1
Tyrone Cornileus,2013-08-30,1,Miami (FL),,Florida Atlantic,W,0,0,0,1,tyrone-cornileus-1
Darqueze Dennard,2013-08-30,1,Michigan State,,Western Michigan,W,0,0,0,3,darqueze-dennard-1
Denzel Drone,2013-08-30,1,Michigan State,,Western Michigan,W,0,0,0,1,denzel-drone-1
Kurtis Drummond,2013-08-30,1,Michigan State,,Western Michigan,W,1,21,1,1,kurtis-drummond-1
Kyler Elsworth,2013-08-30,1,Michigan State,,Western Michigan,W,0,0,0,1,kyler-elsworth-1
Randall Evans,2013-08-30,1,Kansas State,,North Dakota State,L,0,0,0,1,randall-evans-1
Olaoluwa Falemi,2013-08-30,1,Texas Tech,@,Southern Methodist,W,0,0,0,1,olaoluwa-falemi-1
Hayden Greenbauer,2013-08-30,1,Southern Methodist,,Texas Tech,L,0,0,0,1,hayden-greenbauer-1
Ladarius Gunter,2013-08-30,1,Miami (FL),,Florida Atlantic,W,0,0,0,1,ladarius-gunter-1
Joel Heath,2013-08-30,1,Michigan State,,Western Michigan,W,0,0,0,1,joel-heath-1
Malik Jenkins,2013-08-30,1,Texas Tech,@,Southern Methodist,W,0,0,0,1,malik-jenkins-1
Isaiah Lewis,2013-08-30,1,Michigan State,,Western Michigan,W,0,0,0,1,isaiah-lewis-1
Derrick Mathews,2013-08-30,1,Houston,N,Southern,W,0,0,0,1,derrick-mathews-1
Zachary McMillian,2013-08-30,1,Houston,N,Southern,W,0,0,0,1,zachary-mcmillian-1
Alex Meier,2013-08-30,1,Army,,Morgan State,W,0,0,0,1,alex-meier-1
Damian Parms,2013-08-30,1,Florida Atlantic,@,Miami (FL),L,0,0,0,1,damian-parms-1
Denzel Perryman,2013-08-30,1,Miami (FL),,Florida Atlantic,W,0,0,0,2,denzel-perryman-1
Joseph Peterson,2013-08-30,1,Georgia State,,Samford,L,0,0,0,1,joseph-peterson-1
J.R. Richardson,2013-08-30,1,Southern Methodist,,Texas Tech,L,0,0,0,1,jr-richardson-1
Dorrian Roberts,2013-08-30,1,Kansas State,,North Dakota State,L,0,0,0,2,dorrian-roberts-1
Marcus Rush,2013-08-30,1,Michigan State,,Western Michigan,W,0,0,0,1,marcus-rush-1
Deion Sanders Jr.,2013-08-30,1,Southern Methodist,,Texas Tech,L,0,0,0,1,deion-sanders-jr-1
Johnnie Simon,2013-08-30,1,Western Michigan,@,Michigan State,L,0,0,0,2,johnnie-simon-1
D'Joun Smith,2013-08-30,1,Florida Atlantic,@,Miami (FL),L,0,0,0,2,djoun-smith-1
Austin Stewart,2013-08-30,1,Texas Tech,@,Southern Methodist,W,0,0,0,2,austin-stewart-1
Steven Taylor,2013-08-30,1,Houston,N,Southern,W,0,0,0,1,steven-taylor-1
Trae Waynes,2013-08-30,1,Michigan State,,Western Michigan,W,0,0,0,1,trae-waynes-1
Dennell Wesley,2013-08-30,1,Texas Tech,@,Southern Methodist,W,0,0,0,2,dennell-wesley-1
Brandon Wilson,2013-08-30,1,Houston,N,Southern,W,0,0,0,1,brandon-wilson-3
Zach Wood,2013-08-30,1,Southern Methodist,,Texas Tech,L,0,0,0,1,zach-wood-1
Ronald Zamort,2013-08-30,1,Western Michigan,@,Michigan State,L,0,0,0,2,ronald-zamort-1
Laangelo Albright,2013-08-31,1,Arkansas State,,Arkansas-Pine Bluff,W,0,0,0,1,laangelo-albright-1
Jordan Allen,2013-08-31,1,Louisiana State,N,Texas Christian,W,0,0,0,1,jordan-allen-1
Eric Amoaka,2013-08-31,1,Oregon,,Nicholls State,W,0,0,0,1,eric-amoaka-1
Adrian Amos,2013-08-31,1,Penn State,N,Syracuse,W,0,0,0,1,adrian-amos-1
Chi Chi Ariguzo,2013-08-31,1,Northwestern,@,California,W,0,0,0,1,chi-chi-ariguzo-1
Arik Armstead,2013-08-31,1,Oregon,,Nicholls State,W,0,0,0,1,arik-armstead-1
Ethan Armstrong,2013-08-31,1,Wisconsin,,Massachusetts,W,0,0,0,2,ethan-armstrong-1
Dee Arrington,2013-08-31,1,Mississippi State,N,Oklahoma State,L,0,0,0,1,dee-arrington-1
Neiron Ball,2013-08-31,1,Florida,,Toledo,W,0,0,0,1,neiron-ball-1
Deion Barnes,2013-08-31,1,Penn State,N,Syracuse,W,0,0,0,1,deion-barnes-1
Michael Barton,2013-08-31,1,California,,Northwestern,L,0,0,0,1,michael-barton-1
Steffon Batts,2013-08-31,1,Air Force,,Colgate,W,0,0,0,3,steffon-batts-1
Deion Belue,2013-08-31,1,Alabama,N,Virginia Tech,W,0,0,0,1,deion-belue-1
Greg Blair,2013-08-31,1,Cincinnati,,Purdue,W,0,0,0,1,greg-blair-1
Breon Borders,2013-08-31,1,Duke,,North Carolina Central,W,1,19,0,1,breon-borders-1
Kelton Brackett,2013-08-31,1,Alabama-Birmingham,@,Troy,L,0,0,0,1,kelton-brackett-1
Codie Brooks,2013-08-31,1,Texas-San Antonio,@,New Mexico,W,0,0,0,1,codie-brooks-1
Tevin Broussard,2013-08-31,1,Texas-San Antonio,@,New Mexico,W,0,0,0,1,tevin-broussard-1
Andre Brown,2013-08-31,1,Texas-San Antonio,@,New Mexico,W,0,0,0,1,andre-brown-3
Artez Brown,2013-08-31,1,Arkansas State,,Arkansas-Pine Bluff,W,0,0,0,1,artez-brown-1
Kyler Brown,2013-08-31,1,Duke,,North Carolina Central,W,0,0,0,1,kyler-brown-1
Brison Burris,2013-08-31,1,Miami (OH),@,Marshall,L,0,0,0,1,brison-burris-1
Bryce Callahan,2013-08-31,1,Rice,@,Texas A&M,L,0,0,0,1,bryce-callahan-1
Maurice Canady,2013-08-31,1,Virginia,,Brigham Young,W,0,0,0,1,maurice-canady-1
Glenn Carson,2013-08-31,1,Penn State,N,Syracuse,W,0,0,0,2,glenn-carson-1
Jeremy Cash,2013-08-31,1,Duke,,North Carolina Central,W,0,0,0,1,jeremy-cash-2
Hector Cazales Jr.,2013-08-31,1,New Mexico State,@,Texas,L,0,0,0,1,
Quandon Christian,2013-08-31,1,Clemson,,Georgia,W,0,0,0,1,quandon-christian-1
Reshard Cliett,2013-08-31,1,South Florida,,McNeese State,L,0,0,0,2,reshard-cliett-1
Ross Cockrell,2013-08-31,1,Duke,,North Carolina Central,W,0,0,0,1,ross-cockrell-1
Jalen Collins,2013-08-31,1,Louisiana State,N,Texas Christian,W,0,0,0,1,jalen-collins-1
Joe Colton,2013-08-31,1,Massachusetts,@,Wisconsin,L,0,0,0,1,joe-colton-1
Aaron Colvin,2013-08-31,1,Oklahoma,,Louisiana-Monroe,W,0,0,0,1,aaron-colvin-1
Corey Cooper,2013-08-31,1,Nebraska,,Wyoming,W,0,0,0,1,corey-cooper-1
Bryce Cottrell,2013-08-31,1,Texas,,New Mexico State,W,0,0,0,1,bryce-cottrell-1
Allen Covington,2013-08-31,1,Toledo,@,Florida,L,0,0,0,1,allen-covington-1
Robertson Daniel,2013-08-31,1,Brigham Young,@,Virginia,L,0,0,0,1,robertson-daniel-1
Xavier Daniels,2013-08-31,1,Texas State,@,Southern Mississippi,W,0,0,0,2,xavier-daniels-1
Erick Dargan,2013-08-31,1,Oregon,,Nicholls State,W,0,0,0,1,erick-dargan-1
Chris Davis,2013-08-31,1,Auburn,,Washington State,W,0,0,0,3,chris-davis-6
Chris Davis,2013-08-31,1,Troy,,Alabama-Birmingham,W,0,0,0,1,chris-davis-7
Dyshawn Davis,2013-08-31,1,Syracuse,N,Penn State,L,0,0,0,1,dyshawn-davis-1
Ethan Davis,2013-08-31,1,Troy,,Alabama-Birmingham,W,0,0,0,2,ethan-davis-1
Paul Davis,2013-08-31,1,Georgia Tech,,Elon,W,0,0,0,1,paul-davis-4
David Dean,2013-08-31,1,Virginia,,Brigham Young,W,0,0,0,1,david-dean-1
Quandre Diggs,2013-08-31,1,Texas,,New Mexico State,W,0,0,0,1,quandre-diggs-1
K.J. Dillon,2013-08-31,1,West Virginia,,William & Mary,W,0,0,0,1,kj-dillon-1
Josh Dooley,2013-08-31,1,Miami (OH),@,Marshall,L,0,0,0,1,josh-dooley-1
Jonathan Dowling,2013-08-31,1,Western Kentucky,N,Kentucky,W,0,0,0,1,jonathan-dowling-1
Amos Draper,2013-08-31,1,Arkansas State,,Arkansas-Pine Bluff,W,0,0,0,1,amos-draper-1
Gregory Ducre,2013-08-31,1,Washington,,Boise State,W,0,0,0,1,gregory-ducre-1
Kony Ealy,2013-08-31,1,Missouri,,Murray State,W,0,0,0,2,kony-ealy-1
Saqwan Edwards,2013-08-31,1,New Mexico,,Texas-San Antonio,L,0,0,0,1,saqwan-edwards-1
Tariq Edwards,2013-08-31,1,Virginia Tech,N,Alabama,L,0,0,0,2,tariq-edwards-1
Collin Ellis,2013-08-31,1,Northwestern,@,California,W,2,96,2,3,collin-ellis-1
Micah Eugene,2013-08-31,1,Louisiana State,N,Texas Christian,W,0,0,0,1,micah-eugene-1
Ciante Evans,2013-08-31,1,Nebraska,,Wyoming,W,1,0,0,1,ciante-evans-1
Matthias Farley,2013-08-31,1,Notre Dame,,Temple,W,0,0,0,1,matthias-farley-1
