Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Eugene Ford,2018-08-25,1,Hawaii,@,Colorado State,W,eugene-ford-1,1.0,0.0,0.0,1.0
Bakhari Goodson,2018-08-25,1,Massachusetts,,Duquesne,W,bakhari-goodson-1,1.0,0.0,0.0,0.0
Brice McAllister,2018-08-25,1,Massachusetts,,Duquesne,W,brice-mcallister-1,2.0,60.0,1.0,0.0
DeAndre Applin,2018-08-30,1,Georgia State,,,W,deandre-applin-1,1.0,12.0,0.0,0.0
Thomas Barber,2018-08-30,1,Minnesota,,New Mexico State,W,thomas-barber-1,1.0,0.0,0.0,0.0
Lawrence Graham,2018-08-30,1,Tulane,,Wake Forest,L,lawrence-graham-2,1.0,0.0,0.0,0.0
Richie Grant,2018-08-30,1,Central Florida,@,Connecticut,W,richie-grant-1,1.0,3.0,0.0,0.0
Nate Hall,2018-08-30,1,Northwestern,@,Purdue,W,nate-hall-2,1.0,0.0,0.0,0.0
Brontae Harris,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,brontae-harris-1,1.0,-2.0,0.0,1.0
Montre Hartage,2018-08-30,1,Northwestern,@,Purdue,W,montre-hartage-1,1.0,17.0,0.0,1.0
Donnie Lewis,2018-08-30,1,Tulane,,Wake Forest,L,donnie-lewis-1,1.0,0.0,0.0,2.0
Dakari Monroe,2018-08-30,1,San Jose State,,California-Davis,L,dakari-monroe-1,1.0,38.0,0.0,3.0
JR Pace,2018-08-30,1,Northwestern,@,Purdue,W,jr-pace-1,1.0,26.0,0.0,0.0
Corey Straughter,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,corey-straughter-1,1.0,50.0,0.0,2.0
Chris Woolbright,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,chris-woolbright-1,1.0,34.0,1.0,0.0
Joe Bachie,2018-08-31,1,Michigan State,,Utah State,W,joe-bachie-1,1.0,1.0,0.0,0.0
V.J. Banks,2018-08-31,2,Colorado State,N,Colorado,L,vj-banks-1,1.0,0.0,0.0,0.0
Daniel Brown,2018-08-31,1,Nevada,,Portland State,W,daniel-brown-2,1.0,42.0,1.0,0.0
Andre Cisco,2018-08-31,1,Syracuse,@,Western Michigan,W,andre-cisco-1,1.0,2.0,0.0,1.0
Gaje Ferguson,2018-08-31,1,Utah State,@,Michigan State,L,gaje-ferguson-1,1.0,40.0,1.0,0.0
Noble Hall,2018-08-31,1,San Diego State,@,Stanford,L,noble-hall-1,1.0,7.0,0.0,0.0
Falon Hicks,2018-08-31,1,Wisconsin,,Western Kentucky,W,falon-hicks-1,1.0,0.0,0.0,0.0
Nate Landman,2018-08-31,1,Colorado,N,Colorado State,W,nate-landman-1,1.0,2.0,0.0,1.0
Kyle Rachwal,2018-08-31,1,Eastern Michigan,,Monmouth,W,kyle-rachwal-1,1.0,12.0,0.0,0.0
KIelan Whitner,2018-08-31,1,Syracuse,@,Western Michigan,W,kielan-whitner-1,1.0,20.0,0.0,1.0
Kenny Willekes,2018-08-31,1,Michigan State,,Utah State,W,kenny-willekes-1,1.0,0.0,0.0,3.0
Ugo Amadi,2018-09-01,1,Oregon,,Bowling Green State,W,ugo-amadi-1,1.0,38.0,1.0,1.0
Tycen Anderson,2018-09-01,1,Toledo,,Virginia Military Institute,W,tycen-anderson-1,1.0,0.0,0.0,0.0
Blessuan Austin,2018-09-01,1,Rutgers,,Texas State,W,blessuan-austin-1,1.0,-8.0,0.0,0.0
James Bailey,2018-09-01,1,Fresno State,,Idaho,W,james-bailey-4,1.0,0.0,0.0,1.0
Robert Barnes,2018-09-01,1,Oklahoma,,Florida Atlantic,W,robert-barnes-1,1.0,32.0,0.0,0.0
Terrel Bernard,2018-09-01,1,Baylor,,Abilene Christian,W,terrel-bernard-1,1.0,28.0,0.0,0.0
Kalon Beverly,2018-09-01,1,Texas-El Paso,,Northern Arizona,L,kalon-beverly-1,1.0,2.0,0.0,0.0
Joey Blount,2018-09-01,1,Virginia,,Richmond,W,joey-blount-1,1.0,0.0,0.0,0.0
Antoine Brooks,2018-09-01,1,Maryland,N,Texas,W,antoine-brooks-1,1.0,0.0,0.0,0.0
Jalin Burrell,2018-09-01,1,New Mexico,,Incarnate Word,W,jalin-burrell-1,1.0,0.0,0.0,0.0
Shyheim Carter,2018-09-01,1,Alabama,N,Louisville,W,shyheim-carter-1,1.0,45.0,1.0,1.0
Terrell Carter,2018-09-01,1,Memphis,,Mercer,W,terrell-carter-1,1.0,35.0,1.0,2.0
Frank Coppet,2018-09-01,1,Vanderbilt,,Middle Tennessee State,W,frank-coppet-1,1.0,0.0,0.0,0.0
Jonathan Crawford,2018-09-01,1,Indiana,@,Florida International,W,jonathan-crawford-1,1.0,33.0,1.0,0.0
Xavier Crawford,2018-09-01,1,Central Michigan,@,Kentucky,L,xavier-crawford-2,1.0,0.0,0.0,0.0
Evan Croutch,2018-09-01,1,Ohio,,Howard,W,evan-croutch-1,1.0,7.0,0.0,0.0
Ashtyn Davis,2018-09-01,1,California,,North Carolina,W,ashtyn-davis-1,1.0,0.0,0.0,1.0
Jamel Dean,2018-09-01,1,Auburn,N,Washington,W,jamel-dean-1,1.0,0.0,0.0,0.0
Lukas Denis,2018-09-01,1,Boston College,,Massachusetts,W,lukas-denis-1,1.0,59.0,1.0,0.0
Troy Dye,2018-09-01,1,Oregon,,Bowling Green State,W,troy-dye-1,1.0,0.0,0.0,1.0
Avmiel Fleming,2018-09-01,1,Houston,@,Rice,W,avmiel-fleming-1,1.0,0.0,0.0,0.0
Juwan Foggie,2018-09-01,1,UNC Charlotte,,Fordham,W,juwan-foggie-1,1.0,26.0,1.0,1.0
Shannon Forman,2018-09-01,1,Arizona State,,Texas-San Antonio,W,shannon-forman-1,1.0,25.0,1.0,0.0
Sam Franklin,2018-09-01,1,Temple,,Villanova,L,sam-franklin-1,1.0,15.0,0.0,0.0
Wylan Free,2018-09-01,1,Fresno State,,Idaho,W,wylan-free-1,1.0,12.0,0.0,0.0
Innis Gaines,2018-09-01,1,Texas Christian,,Southern,W,innis-gaines-1,1.0,0.0,0.0,1.0
Fred Garth,2018-09-01,1,Bowling Green State,@,Oregon,L,fred-garth-1,1.0,0.0,0.0,0.0
Cameron Goode,2018-09-01,1,California,,North Carolina,W,cameron-goode-1,1.0,38.0,1.0,0.0
Dorian Hall,2018-09-01,1,Florida International,,Indiana,L,dorian-hall-1,1.0,14.0,0.0,0.0
Kemon Hall,2018-09-01,1,North Texas,,Southern Methodist,W,kemon-hall-1,1.0,36.0,1.0,0.0
Damar Hamlin,2018-09-01,1,Pittsburgh,,Albany,W,damar-hamlin-1,1.0,79.0,0.0,0.0
Mike Hampton,2018-09-01,1,South Florida,,Elon,W,mike-hampton-2,1.0,15.0,0.0,1.0
Jaylinn Hawkins,2018-09-01,1,California,,North Carolina,W,jaylinn-hawkins-1,2.0,10.0,0.0,0.0
Ky'El Hemby,2018-09-01,1,Southern Mississippi,,Jackson State,W,kyel-hemby-1,1.0,4.0,0.0,1.0
Chris Henderson,2018-09-01,1,South Alabama,,Louisiana Tech,L,chris-henderson-1,1.0,0.0,0.0,0.0
Ka'dar Hollman,2018-09-01,1,Toledo,,Virginia Military Institute,W,kadar-hollman-1,1.0,2.0,0.0,0.0
Amani Hooker,2018-09-01,1,Iowa,,Northern Illinois,W,amani-hooker-1,1.0,-3.0,0.0,0.0
John Huggins,2018-09-01,1,Florida,,Charleston Southern,W,john-huggins-1,1.0,0.0,0.0,0.0
Antonio Hull,2018-09-01,2,Wyoming,,Washington State,L,antonio-hull-1,1.0,0.0,0.0,0.0
Ridwan Issahaku,2018-09-01,1,Texas Christian,,Southern,W,ridwan-issahaku-1,1.0,21.0,0.0,0.0
Vincent Jackson,2018-09-01,1,South Florida,,Elon,W,vincent-jackson-1,1.0,6.0,0.0,0.0
Kyle Johnson,2018-09-01,1,Air Force,,Stony Brook,W,kyle-johnson-5,1.0,32.0,1.0,1.0
Anthoula Kelly,2018-09-01,1,Fresno State,,Idaho,W,anthoula-kelly-1,2.0,40.0,1.0,3.0
Gage Kreski,2018-09-01,1,Central Michigan,@,Kentucky,L,gage-kreski-1,1.0,36.0,0.0,0.0
Tony Lashley,2018-09-01,1,Boise State,@,Troy,W,tony-lashley-2,1.0,0.0,0.0,0.0
Darryl Lewis,2018-09-01,1,Louisiana Tech,@,South Alabama,W,darryl-lewis-3,1.0,28.0,0.0,0.0
Jartavius Martin,2018-09-01,1,Illinois,,Kent State,W,jartavius-martin-1,1.0,0.0,0.0,1.0
Damarri Mathis,2018-09-01,1,Pittsburgh,,Albany,W,damarri-mathis-1,1.0,0.0,0.0,0.0
Marcus Milton,2018-09-01,1,Bowling Green State,@,Oregon,L,marcus-milton-1,1.0,0.0,0.0,0.0
C.J. Morgan,2018-09-01,1,Mississippi State,,Stephen F. Austin,W,cj-morgan-2,1.0,0.0,0.0,0.0
Ilyaas Motley,2018-09-01,1,Ohio,,Howard,W,ilyaas-motley-1,1.0,-7.0,0.0,1.0
Brenton Nelson,2018-09-01,1,Virginia,,Richmond,W,brenton-nelson-1,1.0,3.0,0.0,1.0
Julian Okwara,2018-09-01,1,Notre Dame,,Michigan,W,julian-okwara-1,1.0,0.0,0.0,0.0
Kaleb Oliver,2018-09-01,1,Georgia Tech,,Alcorn State,W,kaleb-oliver-1,1.0,25.0,0.0,0.0
Amani Oruwariye,2018-09-01,1,Penn State,,Appalachian State,W,amani-oruwariye-1,1.0,0.0,0.0,0.0
Del'Shawn Phillips,2018-09-01,1,Illinois,,Kent State,W,delshawn-phillips-1,1.0,0.0,0.0,1.0
Thomas Pickens,2018-09-01,1,Memphis,,Mercer,W,thomas-pickens-1,1.0,4.0,0.0,0.0
Tomarcio Reese,2018-09-01,1,Georgia Southern,,South Carolina State,W,tomarcio-reese-1,1.0,4.0,0.0,0.0
Amik Robertson,2018-09-01,1,Louisiana Tech,@,South Alabama,W,amik-robertson-1,1.0,0.0,0.0,0.0
Kordell Rodgers,2018-09-01,1,Texas State,@,Rutgers,L,kordell-rodgers-1,2.0,51.0,1.0,0.0
Devon Russell,2018-09-01,1,Buffalo,,Delaware State,W,devon-russell-2,1.0,5.0,0.0,1.0
Shannon Showers,2018-09-01,1,Southern Mississippi,,Jackson State,W,shannon-showers-1,1.0,0.0,0.0,0.0
Albert Smalls,2018-09-01,1,Northern Illinois,@,Iowa,L,albert-smalls-1,1.0,0.0,0.0,0.0
Ray Smith,2018-09-01,1,Boston College,,Massachusetts,W,ray-smith-6,1.0,1.0,0.0,0.0
Marcus Strong,2018-09-01,1,Washington State,@,Wyoming,W,marcus-strong-1,1.0,0.0,0.0,1.0
Leevel Tatum III,2018-09-01,1,Fresno State,,Idaho,W,leevel-tatum-iii-1,1.0,5.0,0.0,0.0
Deionte Thompson,2018-09-01,1,Alabama,N,Louisville,W,deionte-thompson-1,1.0,25.0,0.0,3.0
