Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Kamalani Alo,2013-08-29,1,Hawaii,,Southern California,L,0,,,1,kamalani-alo-1
Barry Brunetti,2013-08-29,1,Mississippi,@,Vanderbilt,W,0,,,1,barry-brunetti-1
Nico Caponi,2013-08-29,1,Akron,@,Central Florida,L,0,,,1,nico-caponi-1
Brenden Daley,2013-08-29,1,Hawaii,,Southern California,L,0,,,1,brenden-daley-1
Darius English,2013-08-29,1,South Carolina,,North Carolina,W,0,,,1,darius-english-1
Kyler Fackrell,2013-08-29,1,Utah State,@,Utah,L,0,,,1,kyler-fackrell-1
Jerry Gates,2013-08-29,1,Bowling Green State,,Tulsa,W,1,,,1,
Forisse Hardin,2013-08-29,1,Indiana,,Indiana State,W,0,,,1,forisse-hardin-1
Devon Kennard,2013-08-29,1,Southern California,@,Hawaii,W,0,,,1,devon-kennard-1
Parry Nickerson,2013-08-29,1,Tulane,,Jackson State,W,0,,,1,parry-nickerson-1
Jared Norris,2013-08-29,1,Utah,,Utah State,W,0,,,1,jared-norris-1
Mike Olson,2013-08-29,1,Wake Forest,,Presbyterian,W,0,,,1,mike-olson-1
Nate Orchard,2013-08-29,1,Utah,,Utah State,W,1,,,1,nate-orchard-1
Corey Redwine,2013-08-29,1,Tulane,,Jackson State,W,0,,,1,corey-redwine-1
Dominique Robertson,2013-08-29,1,Tulane,,Jackson State,W,0,,,1,dominique-robertson-1
Aaron Taylor,2013-08-29,1,Ball State,,Illinois State,W,0,,,1,aaron-taylor-3
Lewis Toler,2013-08-29,1,Rutgers,@,Fresno State,L,1,,,1,lewis-toler-1
Zach Vigil,2013-08-29,1,Utah State,@,Utah,L,0,,,1,zach-vigil-1
Julius Warmsley,2013-08-29,1,Tulane,,Jackson State,W,0,,,1,julius-warmsley-1
Cameron Whigham,2013-08-29,1,Mississippi,@,Vanderbilt,W,0,,,1,cameron-whigham-1
Nikita Whitlock,2013-08-29,1,Wake Forest,,Presbyterian,W,0,,,1,nikita-whitlock-1
Enrique Williams,2013-08-29,1,South Alabama,,Southern Utah,L,0,,,1,enrique-williams-1
