Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Chad Christen,2013-08-29,1,Connecticut,,Towson,L,1,1,100.0,1,1,100.0,4,chad-christen-1
Nick Diaz,2013-08-29,1,Utah State,@,Utah,L,2,3,66.7,2,2,100.0,8,nick-diaz-1
Mitch Ewald,2013-08-29,1,Indiana,,Indiana State,W,10,10,100.0,1,1,100.0,13,mitch-ewald-1
Kyle Federico,2013-08-29,1,Rutgers,@,Fresno State,L,4,4,100.0,3,4,75.0,13,kyle-federico-1
Elliot Fry,2013-08-29,1,South Carolina,,North Carolina,W,3,3,100.0,2,2,100.0,9,elliot-fry-1
Chris Hawthorne,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,6,7,85.7,1,1,100.0,9,chris-hawthorne-2
Chad Hedlund,2013-08-29,1,Wake Forest,,Presbyterian,W,4,4,100.0,1,3,33.3,7,chad-hedlund-1
Andre Heidari,2013-08-29,1,Southern California,@,Hawaii,W,3,3,100.0,3,3,100.0,12,andre-heidari-1
Nolan Kohorst,2013-08-29,1,Nevada-Las Vegas,@,Minnesota,L,2,3,66.7,1,2,50.0,5,nolan-kohorst-1
Colin McGuire,2013-08-29,1,Fresno State,,Rutgers,W,7,7,100.0,1,1,100.0,10,colin-mcguire-1
Anthony Melchiori,2013-08-29,1,Kent State,,Liberty,W,2,2,100.0,1,1,100.0,5,anthony-melchiori-1
Thomas Moore,2013-08-29,1,North Carolina,@,South Carolina,L,1,1,100.0,1,1,100.0,4,thomas-moore-1
Andy Phillips,2013-08-29,1,Utah,,Utah State,W,3,3,100.0,3,3,100.0,12,andy-phillips-2
Carl Salazar,2013-08-29,1,Tulsa,@,Bowling Green State,L,1,1,100.0,0,2,0.0,1,carl-salazar-1
Cairo Santos,2013-08-29,1,Tulane,,Jackson State,W,4,4,100.0,2,2,100.0,10,cairo-santos-1
Scott Secor,2013-08-29,1,Ball State,,Illinois State,W,6,7,85.7,1,1,100.0,9,scott-secor-1
Aleem Sunanon,2013-08-29,1,South Alabama,,Southern Utah,L,3,3,100.0,0,2,0.0,3,aleem-sunanon-1
Tyler Tate,2013-08-29,1,Bowling Green State,,Tulsa,W,4,4,100.0,2,2,100.0,10,tyler-tate-1
Mitch Anderson,2013-08-30,1,Florida Atlantic,@,Miami (FL),L,0,0,,2,2,100.0,6,mitch-anderson-2
Ryan Bustin,2013-08-30,1,Texas Tech,@,Southern Methodist,W,5,5,100.0,2,2,100.0,11,ryan-bustin-1
Jake Smith,2013-08-30,1,Arizona,,Northern Arizona,W,5,5,100.0,0,1,0.0,5,jake-smith-5
Corey Acosta,2013-08-31,1,Southern Mississippi,,Texas State,L,1,1,100.0,2,3,66.7,7,corey-acosta-1
Andrew Baggett,2013-08-31,1,Missouri,,Murray State,W,7,8,87.5,1,2,50.0,10,andrew-baggett-1
Drew Basil,2013-08-31,1,Ohio State,,Buffalo,W,3,3,100.0,1,1,100.0,6,drew-basil-1
Devon Bell,2013-08-31,1,Mississippi State,N,Oklahoma State,L,0,0,,1,2,50.0,3,devon-bell-1
Taylor Bertolet,2013-08-31,1,Texas A&M,,Rice,W,7,7,100.0,1,1,100.0,10,taylor-bertolet-1
Chris Boswell,2013-08-31,1,Rice,@,Texas A&M,L,4,4,100.0,1,2,50.0,7,chris-boswell-1
Stephen Brauchle,2013-08-31,1,Louisiana,@,Arkansas,L,2,2,100.0,0,1,0.0,2,stephen-brauchle-1
Kyle Brindza,2013-08-31,1,Notre Dame,,Temple,W,0,0,,0,1,0.0,0,kyle-brindza-1
Jeff Budzien,2013-08-31,1,Northwestern,@,California,W,5,5,100.0,3,3,100.0,14,jeff-budzien-1
Chandler Catanzaro,2013-08-31,1,Clemson,,Georgia,W,5,5,100.0,1,1,100.0,8,chandler-catanzaro-1
Will Conant,2013-08-31,1,Air Force,,Colgate,W,4,4,100.0,1,1,100.0,7,will-conant-1
Travis Coons,2013-08-31,1,Washington,,Boise State,W,5,5,100.0,1,1,100.0,8,travis-coons-1
Brad Craddock,2013-08-31,1,Maryland,,Florida International,W,4,5,80.0,3,3,100.0,13,brad-craddock-1
Vincenzo D'Amato,2013-08-31,1,California,,Northwestern,L,3,3,100.0,3,3,100.0,12,vincenzo-damato-1
Colby Delahoussaye,2013-08-31,1,Louisiana State,N,Texas Christian,W,4,4,100.0,3,3,100.0,13,colby-delahoussaye-1
Ka'Imi Fairbairn,2013-08-31,1,UCLA,,Nevada,W,7,7,100.0,1,2,50.0,10,kaimi-fairbairn-1
Wes Feer,2013-08-31,1,San Diego State,,Eastern Illinois,L,1,1,100.0,4,4,100.0,13,wes-feer-1
Sam Ficken,2013-08-31,1,Penn State,N,Syracuse,W,2,2,100.0,3,3,100.0,11,sam-ficken-1
Nate Freese,2013-08-31,1,Boston College,,Villanova,W,3,3,100.0,1,1,100.0,6,nate-freese-1
Kyle French,2013-08-31,1,Wisconsin,,Massachusetts,W,6,6,100.0,1,2,50.0,9,kyle-french-1
Andrew Furney,2013-08-31,1,Washington State,@,Auburn,L,3,3,100.0,1,1,100.0,6,andrew-furney-1
Brendan Gibbons,2013-08-31,1,Michigan,,Central Michigan,W,8,8,100.0,1,1,100.0,11,brendan-gibbons-1
Dan Goodale,2013-08-31,1,Boise State,@,Washington,L,0,0,,2,3,66.7,6,dan-goodale-1
Paul Griggs,2013-08-31,1,Purdue,@,Cincinnati,L,1,1,100.0,0,1,0.0,1,paul-griggs-1
Justin Haig,2013-08-31,1,Marshall,,Miami (OH),W,7,7,100.0,1,1,100.0,10,justin-haig-1
Warren Harvey,2013-08-31,1,East Carolina,,Old Dominion,W,7,7,100.0,1,1,100.0,10,warren-harvey-1
Zach Hocker,2013-08-31,1,Arkansas,,Louisiana,W,3,3,100.0,2,2,100.0,9,zach-hocker-1
Michael Hunnicutt,2013-08-31,1,Oklahoma,,Louisiana-Monroe,W,4,4,100.0,2,2,100.0,10,michael-hunnicutt-1
Aaron Jones,2013-08-31,1,Baylor,,Wofford,W,9,9,100.0,1,1,100.0,12,aaron-jones-2
Cody Journell,2013-08-31,1,Virginia Tech,N,Alabama,L,1,1,100.0,1,1,100.0,4,cody-journell-1
Ross Krautman,2013-08-31,1,Syracuse,N,Penn State,L,2,2,100.0,1,2,50.0,5,ross-krautman-1
Josh Lambert,2013-08-31,1,West Virginia,,William & Mary,W,3,3,100.0,1,2,50.0,6,josh-lambert-1
Ty Long,2013-08-31,1,Alabama-Birmingham,@,Troy,L,4,4,100.0,1,3,33.3,7,ty-long-1
Alejandro Maldonado,2013-08-31,1,Oregon,,Nicholls State,W,6,6,100.0,1,1,100.0,9,alejandro-maldonado-1
Joe Mansour,2013-08-31,1,Kentucky,N,Western Kentucky,L,2,3,66.7,2,2,100.0,8,joe-mansour-1
Ross Martin,2013-08-31,1,Duke,,North Carolina Central,W,6,6,100.0,1,2,50.0,9,ross-martin-1
Cole Netten,2013-08-31,1,Iowa State,,Northern Iowa,L,0,0,,2,2,100.0,6,cole-netten-1
Cody Parkey,2013-08-31,1,Auburn,,Washington State,W,2,2,100.0,3,4,75.0,11,cody-parkey-1
Kyle Peterson,2013-08-31,1,Baylor,,Wofford,W,0,0,,1,1,100.0,3,kyle-peterson-1
Trevor Romaine,2013-08-31,1,Oregon State,,Eastern Washington,L,5,5,100.0,1,2,50.0,8,trevor-romaine-1
Niklas Sade,2013-08-31,1,North Carolina State,,Louisiana Tech,W,4,4,100.0,4,4,100.0,16,niklas-sade-1
Will Scott,2013-08-31,1,Troy,,Alabama-Birmingham,W,4,4,100.0,2,3,66.7,10,will-scott-1
Pat Smith,2013-08-31,1,Nebraska,,Wyoming,W,4,5,80.0,1,1,100.0,7,pat-smith-1
Justin Sorensen,2013-08-31,1,Brigham Young,@,Virginia,L,1,1,100.0,1,1,100.0,4,justin-sorensen-2
Stuart Williams,2013-08-31,1,Wyoming,@,Nebraska,L,4,4,100.0,0,1,0.0,4,stuart-williams-1
Taylor Zalewski,2013-08-31,1,Illinois,,Southern Illinois,W,4,4,100.0,2,3,66.7,10,taylor-zalewski-1
Brent Zuzo,2013-08-31,1,Nevada,@,UCLA,L,2,2,100.0,2,2,100.0,8,brent-zuzo-1
Will Oliver,2013-09-01,1,Colorado,N,Colorado State,W,3,3,100.0,4,4,100.0,15,will-oliver-1
Jared Roberts,2013-09-01,1,Colorado State,N,Colorado,L,3,3,100.0,2,2,100.0,9,jared-roberts-1
Roberto Aguayo,2013-09-02,1,Florida State,@,Pittsburgh,W,5,5,100.0,2,2,100.0,11,roberto-aguayo-1
Chris Blewitt,2013-09-02,1,Pittsburgh,,Florida State,L,1,1,100.0,2,2,100.0,7,chris-blewitt-1
Mitch Anderson,2013-09-05,2,Florida Atlantic,@,East Carolina,L,1,1,100.0,2,4,50.0,7,mitch-anderson-2
Zane Gonzalez,2013-09-05,1,Arizona State,,Sacramento State,W,7,7,100.0,2,4,50.0,13,zane-gonzalez-1
Warren Harvey,2013-09-05,2,East Carolina,,Florida Atlantic,W,4,4,100.0,1,1,100.0,7,warren-harvey-1
Nate Freese,2013-09-06,2,Boston College,,Wake Forest,W,3,3,100.0,1,1,100.0,6,nate-freese-1
Chad Hedlund,2013-09-06,2,Wake Forest,@,Boston College,L,1,1,100.0,1,1,100.0,4,chad-hedlund-1
Rodrigo Quirarte,2013-09-06,2,Central Florida,@,Florida International,W,2,2,100.0,0,1,0.0,2,rodrigo-quirarte-1
Corey Acosta,2013-09-07,2,Southern Mississippi,@,Nebraska,L,1,1,100.0,2,2,100.0,7,corey-acosta-1
Justus Adams,2013-09-07,2,New Mexico,@,Texas-El Paso,W,6,6,100.0,0,1,0.0,6,justus-adams-1
Andrew Baggett,2013-09-07,2,Missouri,,Toledo,W,5,5,100.0,1,1,100.0,8,andrew-baggett-1
Patrick Beless,2013-09-07,2,Georgia,,South Carolina,W,5,5,100.0,2,2,100.0,11,patrick-beless-1
Devon Bell,2013-09-07,1,Mississippi State,,Alcorn State,W,4,5,80.0,1,1,100.0,7,devon-bell-1
Taylor Bertolet,2013-09-07,1,Texas A&M,,Sam Houston State,W,8,9,88.9,1,2,50.0,11,taylor-bertolet-1
Stephen Brauchle,2013-09-07,2,Louisiana,@,Kansas State,L,3,3,100.0,2,2,100.0,9,stephen-brauchle-1
Kyle Brindza,2013-09-07,2,Notre Dame,@,Michigan,L,3,3,100.0,3,3,100.0,12,kyle-brindza-1
Jeff Budzien,2013-09-07,2,Northwestern,,Syracuse,W,6,6,100.0,2,2,100.0,12,jeff-budzien-1
Ryan Bustin,2013-09-07,1,Texas Tech,,Stephen F. Austin,W,8,8,100.0,1,1,100.0,11,ryan-bustin-1
Jack Cantele,2013-09-07,2,Kansas State,,Louisiana,W,6,6,100.0,2,2,100.0,12,jack-cantele-1
Chandler Catanzaro,2013-09-07,1,Clemson,,South Carolina State,W,6,6,100.0,1,1,100.0,9,chandler-catanzaro-1
Will Conant,2013-09-07,2,Air Force,,Utah State,L,1,1,100.0,2,2,100.0,7,will-conant-1
Brad Craddock,2013-09-07,1,Maryland,,Old Dominion,W,6,6,100.0,1,1,100.0,9,brad-craddock-1
Vincenzo D'Amato,2013-09-07,1,California,,Portland State,W,4,4,100.0,3,4,75.0,13,vincenzo-damato-1
Brian Davis,2013-09-07,2,Arkansas State,@,Auburn,L,0,0,,3,3,100.0,9,brian-davis-1
Nick Diaz,2013-09-07,2,Utah State,@,Air Force,W,7,7,100.0,1,1,100.0,10,nick-diaz-1
Kyle Federico,2013-09-07,1,Rutgers,,Norfolk State,W,5,5,100.0,1,2,50.0,8,kyle-federico-1
Sam Ficken,2013-09-07,2,Penn State,,Eastern Michigan,W,6,6,100.0,1,1,100.0,9,sam-ficken-1
Kyle Fischer,2013-09-07,1,Louisiana Tech,,Lamar,W,3,3,100.0,2,2,100.0,9,kyle-fischer-2
Elliot Fry,2013-09-07,2,South Carolina,@,Georgia,L,3,4,75.0,1,1,100.0,6,elliot-fry-1
Andrew Furney,2013-09-07,2,Washington State,@,Southern California,W,1,1,100.0,1,1,100.0,4,andrew-furney-1
Brendan Gibbons,2013-09-07,2,Michigan,,Notre Dame,W,5,5,100.0,2,2,100.0,11,brendan-gibbons-1
Paul Griggs,2013-09-07,1,Purdue,,Indiana State,W,2,2,100.0,2,3,66.7,8,paul-griggs-1
Dan Grochowski,2013-09-07,2,Army,@,Ball State,L,2,2,100.0,0,1,0.0,2,dan-grochowski-1
Justin Haig,2013-09-07,1,Marshall,,Gardner-Webb,W,7,7,100.0,2,2,100.0,13,justin-haig-1
Andrew Haldeman,2013-09-07,1,Western Michigan,,Nicholls State,L,2,2,100.0,1,1,100.0,5,andrew-haldeman-1
