Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
Eugene Ford,2018-08-25,1,Hawaii,@,Colorado State,W,1,0,0,1,eugene-ford-1
Bakhari Goodson,2018-08-25,1,Massachusetts,,Duquesne,W,1,0,0,0,bakhari-goodson-1
Brice McAllister,2018-08-25,1,Massachusetts,,Duquesne,W,2,60,1,0,brice-mcallister-1
DeAndre Applin,2018-08-30,1,Georgia State,,,W,1,12,0,0,deandre-applin-1
Thomas Barber,2018-08-30,1,Minnesota,,New Mexico State,W,1,0,0,0,thomas-barber-1
Lawrence Graham,2018-08-30,1,Tulane,,Wake Forest,L,1,0,0,0,lawrence-graham-2
Richie Grant,2018-08-30,1,Central Florida,@,Connecticut,W,1,3,0,0,richie-grant-1
Nate Hall,2018-08-30,1,Northwestern,@,Purdue,W,1,0,0,0,nate-hall-2
Brontae Harris,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,1,-2,0,1,brontae-harris-1
Montre Hartage,2018-08-30,1,Northwestern,@,Purdue,W,1,17,0,1,montre-hartage-1
Donnie Lewis,2018-08-30,1,Tulane,,Wake Forest,L,1,0,0,2,donnie-lewis-1
Dakari Monroe,2018-08-30,1,San Jose State,,California-Davis,L,1,38,0,3,dakari-monroe-1
JR Pace,2018-08-30,1,Northwestern,@,Purdue,W,1,26,0,0,jr-pace-1
Corey Straughter,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,1,50,0,2,corey-straughter-1
Chris Woolbright,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,1,34,1,0,chris-woolbright-1
Joe Bachie,2018-08-31,1,Michigan State,,Utah State,W,1,1,0,0,joe-bachie-1
V.J. Banks,2018-08-31,2,Colorado State,N,Colorado,L,1,0,0,0,vj-banks-1
Daniel Brown,2018-08-31,1,Nevada,,Portland State,W,1,42,1,0,daniel-brown-2
Andre Cisco,2018-08-31,1,Syracuse,@,Western Michigan,W,1,2,0,1,andre-cisco-1
Gaje Ferguson,2018-08-31,1,Utah State,@,Michigan State,L,1,40,1,0,gaje-ferguson-1
Noble Hall,2018-08-31,1,San Diego State,@,Stanford,L,1,7,0,0,noble-hall-1
Falon Hicks,2018-08-31,1,Wisconsin,,Western Kentucky,W,1,0,0,0,falon-hicks-1
Nate Landman,2018-08-31,1,Colorado,N,Colorado State,W,1,2,0,1,nate-landman-1
Kyle Rachwal,2018-08-31,1,Eastern Michigan,,Monmouth,W,1,12,0,0,kyle-rachwal-1
KIelan Whitner,2018-08-31,1,Syracuse,@,Western Michigan,W,1,20,0,1,kielan-whitner-1
Kenny Willekes,2018-08-31,1,Michigan State,,Utah State,W,1,0,0,3,kenny-willekes-1
Ugo Amadi,2018-09-01,1,Oregon,,Bowling Green State,W,1,38,1,1,ugo-amadi-1
Tycen Anderson,2018-09-01,1,Toledo,,Virginia Military Institute,W,1,0,0,0,tycen-anderson-1
Blessuan Austin,2018-09-01,1,Rutgers,,Texas State,W,1,-8,0,0,blessuan-austin-1
James Bailey,2018-09-01,1,Fresno State,,Idaho,W,1,0,0,1,james-bailey-4
Robert Barnes,2018-09-01,1,Oklahoma,,Florida Atlantic,W,1,32,0,0,robert-barnes-1
Terrel Bernard,2018-09-01,1,Baylor,,Abilene Christian,W,1,28,0,0,terrel-bernard-1
Kalon Beverly,2018-09-01,1,Texas-El Paso,,Northern Arizona,L,1,2,0,0,kalon-beverly-1
Joey Blount,2018-09-01,1,Virginia,,Richmond,W,1,0,0,0,joey-blount-1
Antoine Brooks,2018-09-01,1,Maryland,N,Texas,W,1,0,0,0,antoine-brooks-1
Jalin Burrell,2018-09-01,1,New Mexico,,Incarnate Word,W,1,0,0,0,jalin-burrell-1
Shyheim Carter,2018-09-01,1,Alabama,N,Louisville,W,1,45,1,1,shyheim-carter-1
Terrell Carter,2018-09-01,1,Memphis,,Mercer,W,1,35,1,2,terrell-carter-1
Frank Coppet,2018-09-01,1,Vanderbilt,,Middle Tennessee State,W,1,0,0,0,frank-coppet-1
Jonathan Crawford,2018-09-01,1,Indiana,@,Florida International,W,1,33,1,0,jonathan-crawford-1
Xavier Crawford,2018-09-01,1,Central Michigan,@,Kentucky,L,1,0,0,0,xavier-crawford-2
Evan Croutch,2018-09-01,1,Ohio,,Howard,W,1,7,0,0,evan-croutch-1
Ashtyn Davis,2018-09-01,1,California,,North Carolina,W,1,0,0,1,ashtyn-davis-1
Jamel Dean,2018-09-01,1,Auburn,N,Washington,W,1,0,0,0,jamel-dean-1
Lukas Denis,2018-09-01,1,Boston College,,Massachusetts,W,1,59,1,0,lukas-denis-1
Troy Dye,2018-09-01,1,Oregon,,Bowling Green State,W,1,0,0,1,troy-dye-1
Avmiel Fleming,2018-09-01,1,Houston,@,Rice,W,1,0,0,0,avmiel-fleming-1
Juwan Foggie,2018-09-01,1,UNC Charlotte,,Fordham,W,1,26,1,1,juwan-foggie-1
Shannon Forman,2018-09-01,1,Arizona State,,Texas-San Antonio,W,1,25,1,0,shannon-forman-1
Sam Franklin,2018-09-01,1,Temple,,Villanova,L,1,15,0,0,sam-franklin-1
Wylan Free,2018-09-01,1,Fresno State,,Idaho,W,1,12,0,0,wylan-free-1
Innis Gaines,2018-09-01,1,Texas Christian,,Southern,W,1,0,0,1,innis-gaines-1
Fred Garth,2018-09-01,1,Bowling Green State,@,Oregon,L,1,0,0,0,fred-garth-1
Cameron Goode,2018-09-01,1,California,,North Carolina,W,1,38,1,0,cameron-goode-1
Dorian Hall,2018-09-01,1,Florida International,,Indiana,L,1,14,0,0,dorian-hall-1
Kemon Hall,2018-09-01,1,North Texas,,Southern Methodist,W,1,36,1,0,kemon-hall-1
Damar Hamlin,2018-09-01,1,Pittsburgh,,Albany,W,1,79,0,0,damar-hamlin-1
Mike Hampton,2018-09-01,1,South Florida,,Elon,W,1,15,0,1,mike-hampton-2
Jaylinn Hawkins,2018-09-01,1,California,,North Carolina,W,2,10,0,0,jaylinn-hawkins-1
Ky'El Hemby,2018-09-01,1,Southern Mississippi,,Jackson State,W,1,4,0,1,kyel-hemby-1
Chris Henderson,2018-09-01,1,South Alabama,,Louisiana Tech,L,1,0,0,0,chris-henderson-1
Ka'dar Hollman,2018-09-01,1,Toledo,,Virginia Military Institute,W,1,2,0,0,kadar-hollman-1
Amani Hooker,2018-09-01,1,Iowa,,Northern Illinois,W,1,-3,0,0,amani-hooker-1
John Huggins,2018-09-01,1,Florida,,Charleston Southern,W,1,0,0,0,john-huggins-1
Antonio Hull,2018-09-01,2,Wyoming,,Washington State,L,1,0,0,0,antonio-hull-1
Ridwan Issahaku,2018-09-01,1,Texas Christian,,Southern,W,1,21,0,0,ridwan-issahaku-1
Vincent Jackson,2018-09-01,1,South Florida,,Elon,W,1,6,0,0,vincent-jackson-1
Kyle Johnson,2018-09-01,1,Air Force,,Stony Brook,W,1,32,1,1,kyle-johnson-5
Anthoula Kelly,2018-09-01,1,Fresno State,,Idaho,W,2,40,1,3,anthoula-kelly-1
Gage Kreski,2018-09-01,1,Central Michigan,@,Kentucky,L,1,36,0,0,gage-kreski-1
Tony Lashley,2018-09-01,1,Boise State,@,Troy,W,1,0,0,0,tony-lashley-2
Darryl Lewis,2018-09-01,1,Louisiana Tech,@,South Alabama,W,1,28,0,0,darryl-lewis-3
Jartavius Martin,2018-09-01,1,Illinois,,Kent State,W,1,0,0,1,jartavius-martin-1
Damarri Mathis,2018-09-01,1,Pittsburgh,,Albany,W,1,0,0,0,damarri-mathis-1
Marcus Milton,2018-09-01,1,Bowling Green State,@,Oregon,L,1,0,0,0,marcus-milton-1
C.J. Morgan,2018-09-01,1,Mississippi State,,Stephen F. Austin,W,1,0,0,0,cj-morgan-2
Ilyaas Motley,2018-09-01,1,Ohio,,Howard,W,1,-7,0,1,ilyaas-motley-1
Brenton Nelson,2018-09-01,1,Virginia,,Richmond,W,1,3,0,1,brenton-nelson-1
Julian Okwara,2018-09-01,1,Notre Dame,,Michigan,W,1,0,0,0,julian-okwara-1
Kaleb Oliver,2018-09-01,1,Georgia Tech,,Alcorn State,W,1,25,0,0,kaleb-oliver-1
Amani Oruwariye,2018-09-01,1,Penn State,,Appalachian State,W,1,0,0,0,amani-oruwariye-1
Del'Shawn Phillips,2018-09-01,1,Illinois,,Kent State,W,1,0,0,1,delshawn-phillips-1
Thomas Pickens,2018-09-01,1,Memphis,,Mercer,W,1,4,0,0,thomas-pickens-1
Tomarcio Reese,2018-09-01,1,Georgia Southern,,South Carolina State,W,1,4,0,0,tomarcio-reese-1
Amik Robertson,2018-09-01,1,Louisiana Tech,@,South Alabama,W,1,0,0,0,amik-robertson-1
Kordell Rodgers,2018-09-01,1,Texas State,@,Rutgers,L,2,51,1,0,kordell-rodgers-1
Devon Russell,2018-09-01,1,Buffalo,,Delaware State,W,1,5,0,1,devon-russell-2
Shannon Showers,2018-09-01,1,Southern Mississippi,,Jackson State,W,1,0,0,0,shannon-showers-1
Albert Smalls,2018-09-01,1,Northern Illinois,@,Iowa,L,1,0,0,0,albert-smalls-1
Ray Smith,2018-09-01,1,Boston College,,Massachusetts,W,1,1,0,0,ray-smith-6
Marcus Strong,2018-09-01,1,Washington State,@,Wyoming,W,1,0,0,1,marcus-strong-1
Leevel Tatum III,2018-09-01,1,Fresno State,,Idaho,W,1,5,0,0,leevel-tatum-iii-1
Deionte Thompson,2018-09-01,1,Alabama,N,Louisville,W,1,25,0,3,deionte-thompson-1
Jalen Thompson,2018-09-01,1,South Alabama,,Louisiana Tech,L,1,0,0,0,jalen-thompson-1
Brandon Watson,2018-09-01,1,Michigan,@,Notre Dame,L,1,19,0,0,brandon-watson-1
Tre Watson,2018-09-01,1,Maryland,N,Texas,W,1,0,0,0,tre-watson-3
James Wiggins,2018-09-01,1,Cincinnati,@,UCLA,W,1,0,0,0,james-wiggins-1
Shawn Wilson,2018-09-01,1,Oregon State,@,Ohio State,L,1,33,0,0,shawn-wilson-1
Jay Woods,2018-09-01,1,South Alabama,,Louisiana Tech,L,1,1,0,1,jay-woods-3
John Battle,2018-09-02,1,Louisiana State,N,Miami (FL),W,1,29,0,0,john-battle-1
Jacob Phillips,2018-09-02,1,Louisiana State,N,Miami (FL),W,1,45,1,0,jacob-phillips-1
Caleb Farley,2018-09-03,1,Virginia Tech,@,Florida State,W,2,0,0,0,caleb-farley-1
Vinny Mihota,2018-09-03,1,Virginia Tech,@,Florida State,W,1,0,0,0,vinny-mihota-1
Shaine Hailey,2018-09-07,2,Southern Methodist,,Texas Christian,L,1,8,0,0,shaine-hailey-1
Malik Antoine,2018-09-08,2,Stanford,,Southern California,W,2,36,0,1,malik-antoine-1
Deandre Baker,2018-09-08,2,Georgia,@,South Carolina,W,1,55,0,2,deandre-baker-1
Bull Barge,2018-09-08,2,South Alabama,@,Oklahoma State,L,1,0,0,0,bull-barge-1
