School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Total Plays,Total Yards,Total Yards Avg,Total TD,Total Points,Point Diff
Akron,71,2012-08-30,1,,Central Florida,1,L,31,54,57.4,256,2,27,69,2.6,0,81,325,4.0,2,14,-42
Arizona St.,96,2012-08-30,1,,Northern Arizona,137,W,16,20,80.0,249,1,51,305,6.0,7,71,554,7.8,9,63,57
Ball St.,72,2012-08-30,1,,Eastern Michigan,76,W,26,41,63.4,267,0,55,329,6.0,4,96,596,6.2,4,37,11
BYU,66,2012-08-30,1,,Washington St.,106,W,26,37,70.3,303,3,41,123,3.0,0,78,426,5.5,3,30,24
Central Michigan,75,2012-08-30,1,,Southeast Missouri,206,W,14,23,60.9,171,1,45,324,7.2,4,68,495,7.3,5,38,11
Connecticut,3,2012-08-30,1,,Massachusetts,68,W,16,27,59.3,225,0,43,147,3.4,2,70,372,5.3,4,37,37
Eastern Michigan,76,2012-08-30,1,@,Ball St.,72,L,15,34,44.1,186,3,33,180,5.5,1,67,366,5.5,4,26,-11
Idaho,133,2012-08-30,1,,Eastern Washington,132,L,16,31,51.6,169,0,28,88,3.1,0,59,257,4.4,0,3,-17
Kent State,77,2012-08-30,1,,Towson,161,W,13,22,59.1,166,1,38,101,2.7,3,60,267,4.5,5,41,20
Massachusetts,68,2012-08-30,1,@,Connecticut,3,L,9,23,39.1,56,0,24,3,0.1,0,47,59,1.3,0,0,-37
Middle Tennessee,56,2012-08-30,1,,McNeese State,241,L,27,41,65.9,240,2,27,103,3.8,0,68,343,5.0,2,21,-6
Minnesota,33,2012-08-30,1,@,UNLV,92,W,17,30,56.7,269,2,46,209,4.5,1,76,478,6.3,3,30,3
New Mexico State,69,2012-08-30,1,,Sacramento State,140,W,14,22,63.6,367,3,40,101,2.5,4,62,468,7.5,7,49,30
Rice,59,2012-08-30,1,,UCLA,102,L,18,30,60.0,184,2,48,174,3.6,1,78,358,4.6,3,24,-25
South Carolina,117,2012-08-30,1,@,Vanderbilt,120,W,7,15,46.7,67,0,47,205,4.4,2,62,272,4.4,2,17,4
Central Florida,1,2012-08-30,1,@,Akron,71,W,14,19,73.7,180,4,46,206,4.5,4,65,386,5.9,8,56,42
UCLA,102,2012-08-30,1,@,Rice,59,W,24,32,75.0,303,2,37,343,9.3,4,69,646,9.4,7,49,25
