School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Louisville,18,2001-08-23,1,,New Mexico State,69,W,45,24,21,18,32,56.3,272,3,1,30,101,3.4,1,1,2,6,8,16,50.0,137,1,68,407,6.0,2,4,0,4,3
New Mexico State,69,2001-08-23,1,@,Louisville,18,L,24,45,-21,8,16,50.0,137,1,0,68,407,6.0,2,4,4,3,18,32,56.3,272,3,30,101,3.4,1,1,1,2,6
BYU,66,2001-08-25,1,,Tulane,11,W,70,35,35,27,33,81.8,297,3,0,49,437,8.9,7,1,1,10,23,49,46.9,289,3,43,219,5.1,2,0,1,1,5
Nebraska,34,2001-08-25,1,,TCU,47,W,21,7,14,10,18,55.6,151,0,1,50,159,3.2,3,1,2,3,11,22,50.0,130,1,28,56,2.0,0,1,0,1,1
North Carolina,21,2001-08-25,1,@,Oklahoma,45,L,27,41,-14,17,41,41.5,226,2,1,35,64,1.8,0,4,5,4,21,31,67.7,178,0,33,108,3.3,2,0,1,1,5
Oklahoma,45,2001-08-25,1,,North Carolina,21,W,41,27,14,21,31,67.7,178,0,1,33,108,3.3,2,0,1,5,17,41,41.5,226,2,35,64,1.8,0,4,1,5,4
TCU,47,2001-08-25,1,@,Nebraska,34,L,7,21,-14,11,22,50.0,130,1,0,28,56,2.0,0,1,1,1,10,18,55.6,151,0,50,159,3.2,3,1,1,2,3
Tulane,11,2001-08-25,1,@,BYU,66,L,35,70,-35,23,49,46.9,289,3,1,43,219,5.1,2,0,1,5,27,33,81.8,297,3,49,437,8.9,7,1,0,1,10
Virginia,24,2001-08-25,1,@,Wisconsin,40,L,17,26,-9,13,32,40.6,178,2,2,33,128,3.9,0,1,3,2,10,24,41.7,191,2,51,228,4.5,1,0,1,1,3
Wisconsin,40,2001-08-25,1,,Virginia,24,W,26,17,9,10,24,41.7,191,2,1,51,228,4.5,1,0,1,3,13,32,40.6,178,2,33,128,3.9,0,1,2,3,2
Colorado,98,2001-08-26,1,,Fresno St.,86,L,22,24,-2,31,51,60.8,346,2,2,31,66,2.1,0,3,5,3,21,36,58.3,198,1,35,89,2.5,2,0,0,0,3
Fresno St.,86,2001-08-26,1,@,Colorado,98,W,24,22,2,21,36,58.3,198,1,0,35,89,2.5,2,0,0,3,31,51,60.8,346,2,31,66,2.1,0,3,2,5,3
Georgia Tech,17,2001-08-26,1,N,Syracuse,23,W,13,7,6,15,26,57.7,224,0,0,46,125,2.7,1,0,0,1,19,32,59.4,183,0,26,59,2.3,1,0,1,1,1
Syracuse,23,2001-08-26,1,N,Georgia Tech,17,L,7,13,-6,19,32,59.4,183,0,1,26,59,2.3,1,0,1,1,15,26,57.7,224,0,46,125,2.7,1,0,0,0,1
Akron,71,2001-08-30,1,,Ohio,80,W,31,29,2,19,24,79.2,217,0,0,46,290,6.3,4,2,2,4,9,11,81.8,104,0,60,339,5.7,3,0,0,0,3
Arizona,95,2001-08-30,1,@,San Diego St.,90,W,23,10,13,21,32,65.6,176,1,1,37,55,1.5,1,0,1,3,18,38,47.4,160,0,29,41,1.4,1,3,0,3,1
Arkansas,108,2001-08-30,1,,UNLV,92,W,14,10,4,12,32,37.5,89,0,1,26,25,1.0,1,3,4,2,4,16,25.0,40,1,54,258,4.8,0,1,3,4,1
Buffalo,74,2001-08-30,1,,Rutgers,39,L,15,31,-16,21,40,52.5,180,1,2,25,55,2.2,0,0,2,2,11,23,47.8,157,2,45,196,4.4,1,1,2,3,4
Central Michigan,75,2001-08-30,1,,Eastern Kentucky,203,W,42,28,14,16,29,55.2,195,1,0,45,124,2.8,4,1,1,5,11,25,44.0,129,1,48,224,4.7,3,2,1,3,4
Idaho,133,2001-08-30,1,@,Washington St.,106,L,7,36,-29,14,30,46.7,72,1,0,24,74,3.1,0,0,0,1,19,32,59.4,303,3,49,241,4.9,1,1,0,1,4
Middle Tennessee,56,2001-08-30,1,@,Vanderbilt,120,W,37,28,9,27,36,75.0,308,0,0,52,300,5.8,5,1,1,5,13,32,40.6,300,2,28,177,6.3,2,0,0,0,4
Minnesota,33,2001-08-30,1,@,Toledo,81,L,7,38,-31,22,35,62.9,187,0,0,30,103,3.4,1,1,1,1,17,25,68.0,149,1,50,363,7.3,4,1,0,1,5
Navy,7,2001-08-30,1,@,Temple,10,L,26,45,-19,15,30,50.0,210,2,1,31,49,1.6,1,0,1,3,15,22,68.2,175,3,54,285,5.3,2,1,1,2,6
Northern Illinois,79,2001-08-30,1,,South Florida,9,W,20,17,3,20,36,55.6,144,1,0,47,200,4.3,1,1,1,2,17,32,53.1,223,2,30,51,1.7,0,1,0,1,2
Ohio,80,2001-08-30,1,@,Akron,71,L,29,31,-2,9,11,81.8,104,0,0,60,339,5.7,3,0,0,3,19,24,79.2,217,0,46,290,6.3,4,2,0,2,4
Rutgers,39,2001-08-30,1,@,Buffalo,74,W,31,15,16,11,23,47.8,157,2,2,45,196,4.4,1,1,3,4,21,40,52.5,180,1,25,55,2.2,0,0,2,2,2
San Diego St.,90,2001-08-30,1,,Arizona,95,L,10,23,-13,18,38,47.4,160,0,0,29,41,1.4,1,3,3,1,21,32,65.6,176,1,37,55,1.5,1,0,1,1,3
South Florida,9,2001-08-30,1,@,Northern Illinois,79,L,17,20,-3,17,32,53.1,223,2,0,30,51,1.7,0,1,1,2,20,36,55.6,144,1,47,200,4.3,1,1,0,1,2
Temple,10,2001-08-30,1,,Navy,7,W,45,26,19,15,22,68.2,175,3,1,54,285,5.3,2,1,2,6,15,30,50.0,210,2,31,49,1.6,1,0,1,1,3
Toledo,81,2001-08-30,1,,Minnesota,33,W,38,7,31,17,25,68.0,149,1,0,50,363,7.3,4,1,1,5,22,35,62.9,187,0,30,103,3.4,1,1,0,1,1
Tulsa,12,2001-08-30,1,,Indiana State,183,W,51,0,51,33,40,82.5,379,3,0,48,191,4.0,4,0,0,7,4,15,26.7,20,0,30,49,1.6,0,2,1,3,0
UAB,61,2001-08-30,1,,Montana State,136,W,41,13,28,10,24,41.7,161,2,2,51,267,5.2,3,0,2,5,19,42,45.2,156,0,17,-1,-0.1,0,0,2,2,1
UNLV,92,2001-08-30,1,@,Arkansas,108,L,10,14,-4,4,16,25.0,40,1,3,54,258,4.8,0,1,4,1,12,32,37.5,89,0,26,25,1.0,1,3,1,4,2
Vanderbilt,120,2001-08-30,1,,Middle Tennessee,56,L,28,37,-9,13,32,40.6,300,2,0,28,177,6.3,2,0,0,4,27,36,75.0,308,0,52,300,5.8,5,1,0,1,5
Washington St.,106,2001-08-30,1,,Idaho,133,W,36,7,29,19,32,59.4,303,3,0,49,241,4.9,1,1,1,4,14,30,46.7,72,1,24,74,3.1,0,0,0,0,1
Western Michigan,82,2001-08-30,1,,Illinois State,182,W,48,7,41,31,43,72.1,462,6,0,29,151,5.2,1,2,2,7,17,30,56.7,139,1,37,92,2.5,0,0,0,0,1
Air Force,83,2001-09-01,1,,Oklahoma,45,L,3,44,-41,11,28,39.3,112,0,2,53,137,2.6,0,2,4,0,14,31,45.2,161,2,35,237,6.8,2,2,1,3,5
Alabama,107,2001-09-01,1,,UCLA,102,L,17,20,-3,15,25,60.0,299,2,1,46,159,3.5,0,1,2,2,8,22,36.4,123,1,38,168,4.4,1,0,0,0,2
Arkansas St.,122,2001-09-01,1,@,Georgia,111,L,17,45,-28,17,32,53.1,180,1,1,41,143,3.5,1,0,1,2,26,38,68.4,386,3,39,212,5.4,3,1,0,1,6
Auburn,109,2001-09-01,1,,Ball St.,72,W,30,0,30,19,33,57.6,243,1,0,37,142,3.8,2,0,0,3,5,17,29.4,32,0,34,60,1.8,0,1,0,1,0
Ball St.,72,2001-09-01,1,@,Auburn,109,L,0,30,-30,5,17,29.4,32,0,0,34,60,1.8,0,1,1,0,19,33,57.6,243,1,37,142,3.8,2,0,0,0,3
Boise St.,84,2001-09-01,1,@,South Carolina,117,L,13,32,-19,18,32,56.3,162,1,1,26,91,3.5,1,0,1,2,18,26,69.2,220,1,41,172,4.2,2,1,0,1,4
Boston College,13,2001-09-01,1,,West Virginia,50,W,34,10,24,11,26,42.3,146,1,1,50,325,6.5,3,1,2,4,22,40,55.0,240,0,40,76,1.9,1,2,3,5,1
Bowling Green,73,2001-09-01,1,@,Missouri,115,W,20,13,7,15,24,62.5,148,1,1,45,194,4.3,2,0,1,3,18,39,46.2,158,1,28,76,2.7,0,1,2,3,1
BYU,66,2001-09-01,2,,Nevada,88,W,52,7,45,25,40,62.5,389,2,0,38,209,5.5,5,0,0,7,15,28,53.6,127,0,36,160,4.4,1,0,1,1,1
California,97,2001-09-01,1,,Illinois,27,L,17,44,-27,21,34,61.8,217,0,2,41,164,4.0,2,3,5,2,18,35,51.4,297,2,34,76,2.2,3,0,0,0,5
Clemson,14,2001-09-01,1,,Central Florida,1,W,21,13,8,15,25,60.0,154,1,0,42,138,3.3,2,2,2,3,29,47,61.7,297,0,22,35,1.6,2,1,0,1,2
Colorado,98,2001-09-01,2,N,Colorado St.,85,W,41,14,27,15,19,78.9,95,0,0,54,315,5.8,3,1,1,5,18,40,45.0,186,2,29,108,3.7,0,0,4,4,2
Colorado St.,85,2001-09-01,1,N,Colorado,98,L,14,41,-27,18,40,45.0,186,2,4,29,108,3.7,0,0,4,2,15,19,78.9,95,0,54,315,5.8,3,1,0,1,5
Connecticut,3,2001-09-01,1,@,Virginia Tech,25,L,10,52,-42,10,29,34.5,110,0,1,27,74,2.7,1,0,1,1,21,30,70.0,323,3,46,283,6.2,4,0,0,0,7
Duke,15,2001-09-01,1,,Florida St.,16,L,13,55,-42,13,30,43.3,194,1,0,36,32,0.9,0,1,1,2,16,30,53.3,189,2,38,200,5.3,3,0,0,0,7
East Carolina,4,2001-09-01,1,,Wake Forest,26,L,19,21,-2,18,35,51.4,231,1,2,25,63,2.5,2,1,3,3,9,16,56.3,161,1,69,290,4.2,1,1,0,1,2
Eastern Michigan,76,2001-09-01,1,,Southeast Missouri,206,W,16,12,4,16,38,42.1,191,0,1,37,159,4.3,1,1,2,1,17,35,48.6,222,1,39,105,2.7,0,0,1,1,1
Florida,110,2001-09-01,1,,Marshall,55,W,49,14,35,25,38,65.8,430,4,1,28,111,4.0,3,0,1,7,27,43,62.8,274,1,26,66,2.5,1,1,0,1,2
Florida St.,16,2001-09-01,1,@,Duke,15,W,55,13,42,16,30,53.3,189,2,0,38,200,5.3,3,0,0,7,13,30,43.3,194,1,36,32,0.9,0,1,0,1,2
Georgia,111,2001-09-01,1,,Arkansas St.,122,W,45,17,28,26,38,68.4,386,3,0,39,212,5.4,3,1,1,6,17,32,53.1,180,1,41,143,3.5,1,0,1,1,2
Georgia Tech,17,2001-09-01,2,,Citadel,228,W,35,7,28,22,34,64.7,351,2,2,36,122,3.4,3,0,2,5,15,26,57.7,132,0,34,70,2.1,1,1,0,1,1
Houston,5,2001-09-01,1,,Rice,59,L,14,21,-7,22,47,46.8,192,2,1,21,7,0.3,0,0,1,2,6,12,50.0,42,1,69,354,5.1,2,0,0,0,3
Illinois,27,2001-09-01,1,@,California,97,W,44,17,27,18,35,51.4,297,2,0,34,76,2.2,3,0,0,5,21,34,61.8,217,0,41,164,4.0,2,3,2,5,2
